File Extension,Tool,Category,Sub-Category,Type,Useful Switches,Tool Description,Linkage,Require Install?
db,safari_wincache.pl,Forensics,Mac Forensics,CLI,,Safari Cache.db parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
,sbag,Forensics,,,,sbag' is a prototype version of a ShellBag parser. The ShellBag information is a set of keys in a user registry hive (eg. ntuser.dat file) used by the Windows operating system to track user window viewing preferences.,http://tzworks.net/prototype_page.php?proto_id=14,
-,scalpel,Forensics,File Carving,CLI,,File carved forked from foremost and rewritten to increase ferformance,,
,Scout Sniper,Malware,File Identification,CLI,,A wrapper program for the Yara malware identification and classification tool and the Fuzzy Hashing program ssdeep.,http://www.cutawaysecurity.com/blog/scout-sniper,
-,sctest,Malware,Shellcode Analysis,,-Svs,Emulate shellcode,http://libemu.carnivore.it/,
,sdhash,File Identification,Fuzzy Hashing,,,,,
"exe, dll, ocx, sys",SearchAndCollect,Malware,File Identification,CLI,,Search and collect executable files (Windows PE file format only) recursively from a parent directory and store in one centralized directory.,https://github.com/IOActive/SearchAndCollect,
-,Secure Erase,Forensics,Disk Wiping,CLI,,"HDDerase.exe is a DOS-based utility that securely erases ""sanitizes"" all data on ATA hard disk drives in Intel architecture computers (PCs).",http://cmrr.ucsd.edu/people/Hughes/SecureErase.shtml,
-,sha1sum,Cryptography,Obfuscation/Encryption,CLI,,,,
-,ShadowExplorer,Forensics,Volume Shadow Copies,GUI,,ShadowExplorer allows you to browse the Shadow Copies created by the Windows Vista/7 Volume Shadow Copy Service.,http://www.shadowexplorer.com/downloads.html,Yes
-,Shell Detect,Malware,Shellcode Analysis,CLI,,"Tool to detect presence of Shell Code within a file or network stream. You can either provide raw binary file or network stream file as input to this tool.  The technique used in this tool is very simple. It reads the data from the file and try to run it. If the shellcode calls any LoadLibrary() function then it will report that it found a shellcode. This tool actually hooks the LoadLibrary() API and return SUCCESS if the hook is hit. There are lot of missing stuff in this tool. As the author mentioned in the webpage, don’t try to run it in your development machine. It actually RUNS the shellcode. ",http://www.securityxploded.com/shell-detect.php,
,Shellcode2exe,Online Help,File Analysis,-,,,http://sandsprite.com/shellcode_2_exe.php,
dat,ShimCacheParser.py,Forensics,Filesystem Analysis,CLI,,Tool for reading the Application Compatibility Shim Cache stored in the Windows registry.,https://raw.github.com/mandiant/ShimCacheParser/master/ShimCacheParser.py,
-,ShoNuff,Online Help,Reconnaissance,-,,WHOIS Master!,http://whoisthemaster.org/,
-,shred,Forensics,Disk Wiping,CLI,shred -z -v -n1 <dev>,*nix program for wiping files/disks,,
-,sigcheck.exe,File Analysis,File Authenticity,CLI,"sigcheck -e -s -u = only search for EXE's, recursively & only display unsigned ones",Verify that images are digitally signed and dump version information with this simple command-line utility.,technet.microsoft.com/en-us/sysinternals/bb897441,
,sigfind,File Analysis,Partition Indentification/Recovery,CLI,-,Used to search a source file for a binary value at given offsets.  Can also identify deleted or missing partitions.,,
wmdb,SimpleCarver,File Analysis,Database,,-,"Tool to extract contents from the CurrentDatabase_327.wmdb file, a database associated with the Windows 7 Windows Media Player.",http://www.simplecarver.com/,
,Skype Parser,Forensics,,,,Parse Skype Logs,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
,skypeex,Memory,,CLI,,Extracts Skype artifacts from a memory dump.,http://csitraining.co.uk/skypex.aspx,
,SmartSniff,Network,Network Monitoring,GUI,,,http://www.nirsoft.net/utils/smsniff.html,
,sorter,File Analysis,File Identification,CLI,-,Extracts and sorts files based on their file type as determined by analysis of the file's content.  It can also look up hashes of extracted files and perform file extension verification,,
js,SpiderMonkey,File Analysis,JavaScript,,,Deobfuscate JavaScript,https://developer.mozilla.org/en/SpiderMonkey,
pcap,SplitCap,Network,Log Analysis,CLI,,SplitCap is a free open source pcap file splitter,http://www.netresec.com/?page=SplitCap,
"pcap, log, evt, evtx",splunk,Forensics,Log Analysis,GUI,, *500mb/day for free*,http://www.splunk.com/,Yes
,SQL Light Manager,,,,,,,
,srch_strings,,,CLI,-,A standalone version of the strings commands.,,
-,ssdeep,File Identification,Fuzzy Hashing,CLI,,"Performs context triggered piecewise hashes, or fuzzy hashing, to help identify similar files.",,
-,sslyze,Pentest,SSL,CLI,,"A Fast and Full-Featured SSL Scanner – it enables Better, faster scanning to analyze the configuration of SSL servers.",http://sslyze.googlecode.com/files/sslyze-0.4_src.zip,
-,Streams.exe,Forensics,Alternate Data Streams,CLI,,,http://technet.microsoft.com/en-us/sysinternals/bb897440,
com,strings,,,,,,,
-,stunnel,Network,,CLI,,Wrap network traffic with SSL,http://www.stunnel.org/,
pdf,swf_mastah.py,File Analysis,Flash,CLI,swf_mastah.py -o <file.pdf>,Utilizes Peepdf and allows you to extract SWF/JS from PDF files ,https://github.com/9b/pdfxray_public/blob/master/builder/swf_mastah.py,
swf,SWFDump,File Analysis,Flash,CLI,swfdump -Ddu <file.swf> > out.txt,Tool that shows the contents of the SWF file.  Part of SWFTools.,http://www.swftools.org/,
swf,SWFScan,File Analysis,Flash,GUI,-,"SWFScan can analyze any SWF file regardless of the Flash Player version for which it was targeted or version of ActionScript with which it was authored. Whether the SWF is located on your local computer or available via a public URL, SWFScan will decompile the bytecode and perform static analysis on it to understand the application's behavior and then check for known security issues.",http://h30499.www3.hp.com/t5/Following-the-White-Rabbit-A/SWFScan-FREE-Flash-decompiler/ba-p/5440167,
swf,swfscan,File Analysis,Flash,CLI,,HP's fantastic SWFScan Adobe Flash de-compile tool and basic 'security scanner,http://h30499.www3.hp.com/t5/Following-the-Wh1t3-Rabbit-Down/SWFScan-FREE-Flash-decompiler/ba-p/5440167#.UEoDaZZyNwE,
swf,SWFTools,File Analysis,Flash,,,A collection of utilities for working with Adobe Flash files (SWF files).,http://www.swftools.org/,
exe,SysAnalyzer,Malware,Filesystem Analysis,GUI,,"An automated malcode run time analysis application that monitors various aspects of system and process states. (API logging, system snapshots, process analyzer)",http://www.woodmann.com/collaborative/tools/index.php/SysAnalyzer,
-,TamperData,Network,Website Tampering,GUI,,Control web traffic,https://addons.mozilla.org/en-US/firefox/addon/tamper-data/,
"tgz, gz, tbz, tbz2, bz1, bz",tar,,,,xzf,,,
,tcdiscover.py,,,,,Searches for TrueCrypt containers.,,
-,tchunt.exe,Cryptography,Obfuscation/Encryption,CLI,,,http://16s.us/TCHunt/index.php,
pcap,tcpbridge,Network,PCAP Analysis,CLI,,Included in the Tcpreplay suite - bridge two network segments with the power of tcprewrite,http://tcpreplay.synfin.net/,
pcap,tcpcapinfo,Network,PCAP Analysis,CLI,,Included in the Tcpreplay suite - raw pcap file decoder and debugger,http://tcpreplay.synfin.net/,
pcap,tcpdump,Network,Network Monitoring,CLI,sudo tcpdump -w <out.pcap>,,http://www.tcpdump.org/,
pcap,tcpflow,Network,Network Monitoring,CLI,,"A program that captures data transmitted as part of TCP connections (flows), and stores the data in a way that is convenient for protocol analysis and debugging. Each TCP flow is stored in its own file. Thus, the typical TCP flow will be stored in two files, one for each direction. tcpflow can also process stored ‘tcpdump’ packet flows.",http://afflib.org/software/tcpflow,
pcap,tcpprep,Network,PCAP Analysis,CLI,,Included in the Tcpreplay suite - multi-pass pcap file pre-processor which determines packets as client or server and creates cache files used by tcpreplay and tcprewrite,http://tcpreplay.synfin.net/,
pcap,tcpreplay,Network,PCAP Analysis,CLI,tcpreplay --intf1=eth0 sample.pcap,Included in the Tcpreplay suite - replays pcap files at arbitrary speeds onto the network ,http://tcpreplay.synfin.net/,
pcap,tcpreplay-edit,Network,PCAP Analysis,CLI,,Included in the Tcpreplay suite - replays & edits pcap files at arbitrary speeds onto the network,http://tcpreplay.synfin.net/,
pcap,tcprewrite,Network,PCAP Analysis,CLI,,Included in the Tcpreplay suite - pcap file editor which rewrites TCP/IP and Layer 2 packet headers,http://tcpreplay.synfin.net/,
,tcpview,Network,,,,,,
,TestDisk,Forensics,Partition Indentification/Recovery,CLI,,Used to recover partitions.,http://www.cgsecurity.org/wiki/TestDisk,
,ThreatExpert,Online Help,File Analysis,-,,"ThreatExpert is an advanced automated threat analysis system designed to analyze and report the behavior of computer viruses, worms, trojans, adware, spyware, and other security-related risks in a fully automated mode.",http://www.threatexpert.com/threats.aspx,
db,Thumbnail Database Viewer,Forensics,Graphics,GUI,,Tool which enables you to view thumbnail cache which is used by Windows to speed up the display of thumbnails in folders,http://www.itsamples.com/thumbnail-database-viewer.html,
,TitanEngine,File Analysis,Unpacking,CLI,-,,http://www.reversinglabs.com/products/TitanEngine.php,
-,tmfs,Forensics,Mac Forensics,CLI,"tmfs /mnt/hfs-root /mnt/tm-root -ouid=$(id -u my_user),gid=$(id -g my_user),allow_other",Time Machine File System is a read-only virtual filesystem which helps you to read your Apple's time machine backup,https://github.com/abique/tmfs,
-,triage-ir,Forensics,Live IR,CLI,,Automatically collect information from a system that needs basic triage functions performed upon it. (requires Sysinternals),https://code.google.com/p/triage-ir/,
-,trid,File Analysis,File Identification,,,Identify file type,http://mark0.net/soft-trid-e.html,
pcap,Tshark,Network,PCAP Analysis,CLI,tshark -r <file> -T fields -e ip.src -e tcp.srcport -e ip.dst -e tcp.dstport | sort | uniq -c | sort -n,,,
-,TSK,Forensics,Forensic Suite,CLI,,,,
-,tsk-xview.exe,Forensics,Alternate Data Streams,CLI,,,http://code.google.com/p/malwarecookbook,
,unbup,File Analysis,Anti-Virus,CLI,,Programs to unquarantine McAfee BUP files.,"https://raw.github.com/OpenSecurityResearch/unbup/master/UnBup.sh
https://raw.github.com/OpenSecurityResearch/unbup/master/UnBup.pl",
-,URLVoid,Online Help,Website Inspection,-,,Check Reputation of Domains and Subdomains,http://urlvoid.com/,
dat,USBDeviceForensics,File Analysis,Registry Analysis,,,USBDeviceForensics is an application to extract numerous bits of information regarding USB devices.,http://www.woanware.co.uk/?page_id=45,Yes
-,usp,Forensics,Removable Media Analysis,CLI,,Tool to find USB device artifacts on an NTFS volume,,
,vbindiff,File Analysis,,,,Compare binary files,http://www.cjmweb.net/vbindiff/,
vdi,vboxmange,Forensics,,,,VirtualBox's CLI that can convert its VDI file format to VMDK's and raw images,,
"exe,dll",verify-sgs,File Analysis,Certificates,CLI,,"Provides a python fingerprinter class to compute all manner of hashes on files (for now, 'generic' hashes on all files, and Authenticode compliant hashes on PE/COFF files). Also provides a validator class to check Authenticode signatures.",https://code.google.com/p/verify-sigs/,
vmdk,VFAE,File Analysis,Virtual Machine Analysis,,,VMDK Forensic Artifact Extractor (VFAE) is a windows based tool that extracts files from VMDK images running the Windows operating system.,http://sourceforge.net/projects/vfae/,
-,virustotal-search.py,Malware,File Analysis,CLI,,Script to take a list of hashes  and search against VT's DB and produce a CSV output with all info,http://blog.didierstevens.com/2012/05/21/searching-with-virustotal/,
-,VMFS,Forensics,Virtual Machine Analysis,CLI,,The Open Source VMFS Driver enables read-only access to files and folders on partitions formatted with the Virtual Machine File System (VMFS).,http://code.google.com/p/vmfs/,
vmdk,VMware Disk Mount Utility,Forensics,Virtual Machine Analysis,CLI,,Included in the VDDK and required for LiveView,http://www.vmware.com/support/developer/vddk/,
,Vmware vCenter Converter,,,,,Allows you to perform physical to virtual machine conversions as well as conversions between virtual machine formats,https://www.vmware.com/tryvmware/?p=converter,
,volafox,Memory,Mac Forensics,,,Memory Analyzer for Mac OS X for python 2.x,http://code.google.com/p/volafox/,
"dmp, raw, vmem",Volatility,Memory,Memory Analysis,CLI,,,https://www.volatilesystems.com/default/volatility,
-,vsc-parser,Forensics,Volume Shadow Copies,CLI,,"vsc-parser demonstrates the ripping VSCs Practitioner Method. The collection of scripts: automating VSC access, obtaining operating system information, obtaining information about the VSCs’ files, and extracting information from registry hives.",http://code.google.com/p/jiir-resources/downloads/list,
-,VSCtoolset.exe,Forensics,Volume Shadow Copies,GUI,,A GUI developed for executing batch files against one or more volume shadow copies.  ,http://dfstream.blogspot.com/p/vsc-toolset.html,
-,vssadmin,Forensics,Volume Shadow Copies,CLI,vssadmin list shadows,Displays current volume shadow copy backups and all installed shadow copy writers and providers.,-,
pdf,Walker,,,GUI,,Examines the structure of PDF files.,http://code.google.com/p/origami-pdf/,
,WebMER,,,,,"The WebMER (Minimum Escalations Requirements) collects McAfee Product data from your computer so that the problem could be analyzed and resolved by the McAfee's Technical Support Team. Includes (registry details, file version details, files, event logs, process details)",,
"js, pdf, swf",Wepawet,Online Help,File Analysis,-,,Wepawet is a framework for the analysis of web-based threats.,http://wepawet.iseclab.org/,
-,wget,,,CLI,,Retrieve websites,,
dmp,win32/64.dd,Memory,Memory Analysis,CLI,win32.dd /c 0,Part of MoonSols Windows Memory Toolkit that captures a memory image either over the network of locally.,http://www.moonsols.com/products/,
,WinMHR,Malware,Anti-Virus,GUI,,WinMHR uses Team Cymru's acclaimed Malware Hash Registry to quickly find malicious files residing or running on your computer. ,http://www.team-cymru.org/Services/MHR/WinMHR/,
pcap,Wireshark,Network,Network Monitoring,GUI,,,http://www.wireshark.org/,
dat,WRR (MiTeC Windows Registry Recovery),File Analysis,Registry Analysis,GUI,,"This application allows to read files containing Windows NT,2K,XP,2K3 registry hives. It extracts many useful information about configuration and windows installation settings of host machine. Registry hive can be exported into REGEDIT4 format. ",http://www.mitec.cz/,
-,xandora,Online Help,File Analysis,-,,Suspicious File Analyzer,http://www.xandora.net/xangui/,
-,xcopy,Forensics,File Recovery,CLI,xcopy c:\<dir1> c:\<dir2> /s /e /I /h = copy dir1 to dir2 with all files/subfolders including ones w/ hidden/system attributes & empty dirs,Replaced copy command but not present in Vista+,,
pdf,xdpdf,File Analysis,PDF,,,Designed to quickly and transparently render inert potentially malicious parts of a PDF document traversing a Microsoft Exchange server. ,http://code.google.com/p/xdpdf/,
-,Xmount,Forensics,Disk Analysis,,,Similar to AFFuse/MountEWF but also presents the contents of the container as a VirtualBox or VMWare format disk image.,https://www.pinguin.lu/index.php,
-,xor,Cryptography,File Analysis,CLI,,A simple xor program,https://raw.github.com/OpenSecurityResearch/unbup/master/xor.pl,
-,xorsearch,,Obfuscation/Encryption,CLI,xorsearch -s http,Find obfuscated or encrypted data,http://blog.didierstevens.com/programs/xorsearch/,
-,xortool,,Obfuscation/Encryption,,,Find obfuscated or encrypted data,https://github.com/hellman/xortool,
"exe, dll",xPELister,Malware,PE Analysis,,,PE Viewer/Editor and has integrated RepairPE module.,,
pcap,xplico,Network,File Analysis,GUI,,Internet traffic decoder,http://www.xplico.org/,
"swf,cwf",xxxswf.py,File Analysis,Flash,CLI,xxswf.py -sxd -y rules.yar -r <folder>,Examine malicious Flash files,http://hooked-on-mnemonics.blogspot.com/2011/12/xxxswfpy.html,
doc,xxxswf.py,File Analysis,Microsoft Office,CLI,xxxswf.py -xd <file>,Examine malicious Flash files,http://hooked-on-mnemonics.blogspot.com/2011/12/xxxswfpy.html,
-,YARA,Malware,File Identification,CLI,,YARA is a tool aimed at helping malware researchers to identify and classify malware samples.,http://code.google.com/p/yara-project/,
-,yara-normalize,Malware,File Identification,CLI,,"Normalizes Yara Signatures into a repeatable hash even when non-transforming changes are made} To enable consistent comparisons between yara rules (signature), a uniform hashing standard was needed.",https://github.com/chrislee35/yara-normalize,
dat,YARU,Forensics,Registry Analysis,GUI,,A minimal version of a registry viewer,http://tzworks.net/prototype_page.php?proto_id=3,
-,Zulu,Online Help,Website Inspection,-,,URL Risk Analyzer,http://zulu.zscaler.com/,
