Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
25649        4      AYERA-AS - AYERA TECHNOLOGIES, INC., US
25651        4      GRTI-NW - Gila River Telecommunications
25892        4      VERTEX - Vertex Telecom, Inc. , US
26110        4      MHT-ASN - Manitoba Hydro International 
26198        4      3MENATWORK - 3Men@Work Integrated Netwo
26223        4      SILVERSTAR-TELEPHONE - Silver Star Comm
26803        4      FIBERNOC - Fiber Internet Center, US
27139        4      DNIC-ASBLK-27032-27159 - DoD Network In
27501        4      LASVEGASNET-AS - LasVegas.Net LLC, US
27582        4      PTC-OKC-ASN - Perimeter Technology Cent
27631        4      PANGAEA - PANGAEA, US
27796        4      Galaxy Communications, PA
27995        4      CLARO CHILE S.A., CL
28132        4      TRI TELECOM LTDA, BR
28142        4      DIGITAL DESIGN - SERVICOS DE INFORMATIC
28152        4      Navinet Ltda, BR
28153        4      Micropic Ltda, BR
28165        4      Wireless Comm Services LTDA, BR
28201        4      Companhia Itabirana Telecomunicações Lt
28229        4      HARDONLINE LTDA, BR
28309        4      WGO Telecomunicações Ltda, BR
28330        4      IFTNET Informatica Ltda, BR
28719        4      HMFES Khanty-Mansiysky department Auton
28738        4      INTERLAN-AS , RU
28746        4      TELCOROUTE , TR
28812        4      JSCBIS-AS , RU
28840        4      TATTELECOM-AS , RU
28849        4      ASN-GLOBALONEBEL-CORE , BY
28906        4      TTKNN-AS1 , RU
28978        4      COIG-AS , PL
29062        4      VOKS-AS VOKS ISP Autonomus system, UA
29074        4      FAUST-ASN Kyiv-150, Predslavenskaya str
29099        4      MATRIX-LB , LB
29140        4      HOSTSERVER-AS Hostserver GmbH, DE
29319        4      ASN-IMSYS , RU
29492        4      EIDSIVA-ASN , NO
29636        4      CATALYST2-AS , IE
29685        4      OK-NET-UA , UA
29886        4      ESVBA-ASN1 - Eastern Shore of Virginia 
29898        4      MONEYGRAM-INTERNATIONAL-INC - MoneyGram
29930        4      TWRS-CBB - Towerstream I, Inc., US
30164        4      USACOMMUNICATIONS-1 - USA COMPANIES, LL
30217        4      DESYNC - Desync Networks, US
30336        4      XITTEL-AS - Telecommunications Xittel i
30362        4      HPT-ASN - Hawaii Pacific Teleport LP, U
30910        4      RU-TAGNET-AS , RU
30975        4      TKK Kotarbinskiego 3, 75-352 Koszalin, 
31029        4      M-REAL , BG
31034        4      ARUBA-ASN , IT
31100        4      SYNNET-WE , DE
31115        4      INTRED-AS , IT
31208        4      MF-CENTER-AS , RU
31277        4      NEWLINE-AS , RU
31425        4      FORATEC-AS Foratec Net AS, RU
31444        4      SEANET-AS Russia, Saint-Petersburg, RU
31495        4      TELERETE-AS , IT
31769        4      RAINBOW-BROADBAND - Rainbow Broadband, 
32233        4      PERSONA - PERSONA COMMUNICATIONS INC., 
32354        4      UNWIRED - Unwired, US
32451        4      SITE-B-DATA - Site B Data Services, LLC
32882        4      ADVENIAT-TELECOMMUNICATIONS - Adveniat,
33494        4      IHNET - IHNetworks, LLC, US
33525        4      -Reserved AS-, ZZ
33559        4      NODESDIRECT - Nodes Direct, US
33786        4      KNet, GH
33852        4      ORG-CCJS1-RIPE Armenian Exchange, AM
33875        4      GOODNET , RO
34146        4      ISP-SOLUTIONS-AS Geneva, Switzerland, C
34470        4      PTKOM-AS PortTelekom Autonomous system,
34569        4      NETWORX-BG , BG
34660        4      IDAQ-AS Dedicated servers, colocation, 
35004        4      NETGRUP , RU
35213        4      COMPNETUA-AS , UA
35266        4      EXN-AS , GB
35369        4      LAGIS-AS , AT
35574        4      GTECH SED Multitel s.r.l. is an IGT com
35638        4      RO2K-AS , RO
35645        4      INFOCENTER , RU
35701        4      BCH-AS , DE
35725        4      COSMOROM , RO
36549        4      LOGIC-36549 - WestTel Ltd., KY
36734        4      PAXIO-SFBA - Paxio Inc., US
36884        4      MAROCCONNECT, MA
36917        4      ACS, AO
36928        4      SIERRATEL-AS, SL
37254        4      GREENFLASH, ZA
37497        4      Network-Platforms, ZA
37529        4      GITGE, GQ
37602        4      TELESIS-ASN, TZ
38524        4      LAXONET-AS-ID Laxo Global Akses, PT, ID
38917        4      KOMTEL-AS , RU
39032        4      ISPETC ----- UPSTREAM: Uzbektelecom ---
39151        4      CETEL , DE
39205        4      BUSINESSIT-AS , RO
39279        4      CTS-MD , MD
39308        4      ASK-AS , IR
39775        4      HYPERNET-AS , RU
39948        4      INIT-PHX - Phoenix Internet, US
40237        4      UNITED-TELEPHONE - United Telephone Com
40284        4      GSCBN - Glenwood Springs Community Broa
40285        4      NORTHLAND-CABLE - NORTHLAND CABLE TELEV
40341        4      Q9-AS-CAL2 - Q9 Networks Inc., CA
40393        4      CROSSLINKNETWORKS - InSite Connect, LLC
40641        4      MGWTEL - MGW Telephone Company, Inc., U
40731        4      LATIN-IP - Latin IP LLC, US
41151        4      DIGITALIT-AS , RO
41209        4      COMSTAR-VOLGA , RU
41285        4      MERLINCOMUA Odessa, Ukraine, UA
41371        4      SKYNET , KZ
41496        4      RO-TVSAT-AS , RO
41556        4      TELECON-AS , RU
41937        4      RADIJUSVEKTOR-AS , RS
42104        4      CENTRLAN-AS , UA
42306        4      EDERA_GROUP , CZ
42579        4      SARGASSO-EU-AS , GB
42957        4      INASSET-AS , IT
43356        4      COMTECH-AS , TR
43370        4      OBIT-KZ-AS Obit Telecommunications, Kaz
43826        4      SPNETRU-AS , RU
44468        4      WEBKITCHEN-AS , CH
44894        4      UCMA-AS , UA
44901        4      BELCLOUD , BG
45029        4      RIPN-SU-NET , RU
45054        4      METROBIT-AS , RU
45146        4      RAJASA-AS-ID-AP PT. Raja Sepadan Abadi,
45158        4      TASMANET-AS-AP Tasmanet Pty Ltd, AU
45298        4      INTERLINK-TECH-AS-ID INTERLINK TECHNOLO
45455        4      TH-2S1N-AP Two S One N Co Ltd, Internet
45735        4      UNINET-NAP-AS-ID PT. UNINET MEDIA SAKTI
45804        4      MEGHBELA-IN MEGHBELA BROADBAND, IN
45815        4      HOSTCOIN-AS-IN-AP ESDS Software Solutio
45846        4      FSW-SHIGA-POP Shiga area POP AS Number,
46454        4      AS1 - WCS, US
46632        4      SOUTHWEST-ARKANSAS-TELEPHONE-COOPERATIV
46687        4      AS46687 - BCI Mississippi Broadband,LLC
46764        4      UWI-OPEN-CAMPUS - University of the Wes
47253        4      BNET-AS , PS
47350        4      GCX-AS , RU
47554        4      AS_SOSHIANT , IR
47742        4      UNIVERS-NET-AS , RO
47777        4      WUNET , DE
47881        4      MNNEWS-AS , ME
48057        4      ITVNET-AS , MK
48408        4      ROOTSECURITY-AS , BE
48648        4      KYIVLINK , UA
48695        4      ATHEEB-AS , SA
48757        4      TRUSTINFO TrustInfo, Moscow, Russia, RU
48815        4      CRITICALCASE , IT
48885        4      NEOCARRIER Allee du Quartz 9, CH
48887        4      SOMONCOM-AS , TJ
49309        4      AS49309 , DK
49572        4      FCN , GB
49588        4      SLVNET-AS , UA
50020        4      RACCOM-AS , BG
50398        4      FASTCOMMUNICATIONS , CZ
50448        4      SYSTEM-SERVICE-AS , RU
50628        4      ASN-LEONIX , FR
50875        4      NESS , TR
50920        4      KABEL-BRAUNAU , AT
50993        4      ZD-NET , PL
51011        4      P-T-K-AS , RU
51110        4      IDOMTECHNOLOGIES-AS , FR
51184        4      MEDIAINVENT-AT , AT
51541        4      IR-SEPEHRAVA , IR
51665        4      TELEDISCOUNT , RU
51945        4      CONNETU , GB
52259        4      SERVICIOS DE TECNOLOGIA APLICADA SRL, A
52373        4      ECOM CHACO S.A., AR
52561        4      GFOUR TELECOM, BR
52590        4      GPSNet Provedor de Acesso a Redes de Co
52596        4      TROPICALNET TELECOM, BR
52759        4      DataSafeIT Soluções em Tecnologia, BR
52771        4      Giga Byte Prod. e Serv. Inform. Ltda, B
52892        4      COPREL TELECOM LTDA, BR
52928        4      JANAJÁ SERVIÇOS LTDA, BR
52978        4      RG3.Net Comercio e Servicos Ltda., BR
53008        4      Pontal Cabo Ltda, BR
53022        4      BROSEGHINI LTDA EPP, BR
53037        4      NEXTEL TELECOMUNICAÇÕES LTDA, BR
53132        4      Mega Grupo de Telecomunicações Ltda, BR
53133        4      P & K Networks e Telecomunicações Ltda,
53153        4      CINTE Telecom Comercio e Servicos Ltda.
53162        4      VOIPGLOBE SERVICOS DE COM MULTIMIDIA VI
53174        4      Pannet Serviços On Line Ltda, BR
53180        4      Infortel Telecomunicacoes e Servicos EI
54889        4      BLUWEST - Bluwest Inc, CA
55229        4      WSHOSTING - White Sands Hosting, US
55314        4      NEWLIFE-AS-VN NEWLIFE COMPANY, VN
55383        4      IDC-JP YYY Group, Inc., JP
55649        4      METRONET-HK Flat C, 16/F, Skyline Tower
55785        4      MAXUM-AS-AP MAXUM DATA LIMITED, NZ
55996        4      CYPRESSTEL CYPRESS TELECOM (CHINA) LIMI
56038        4      RACKCORP-AP RackCorp, AU
56088        4      PANDI-ID PANDI - Pengelola Nama Domain 
56121        4      MEDIAMULTIMEDIA-AS-BD Media and Multime
56149        4      INCOM-AS-VN Cong ty CP Truyen thong quo
56204        4      NETMAX-NP Net Max Technologies Pvt. Ltd
56246        4      SDI-AS-ID PT Sumber Data Indonesia, ID
57285        4      UKRINFOSYSTEMS-AS , UA
57394        4      EPIC-NETWORKS-AS , IT
57433        4      INTERCOLO-AS intercolo IP-Backbone, DE
57474        4      NAZHIN , IR
57723        4      MEDIATELEKOM , PL
57752        4      NORMHOST-ASN , FR
57944        4      SNAK-AS , UA
58291        4      COLOCENTER , NL
58580        4      FASTRACK Fastrack Technology, AU
58910        4      AMSB-AS-AP ACODA Networks Sdn Bhd, MY
59278        4      VNTNET-AS-ID PT Jaringan VNT Indonesia,
59370        4      ACCESS-NP Access World Tech Pvt. Ltd., 
60118        4      ALISTAR-AS , RO
60391        4      PRMG , LU
60804        4      SWISS-NETWORK , CH
61010        4      IPNET-AS , KG
61044        4      SIT , NL
61349        4      MAXITEL , NL
61695        4      Jet Link Telecomunicacoes LTDA, BR
62282        4      RACKRAY , LT
62734        4      CASCADEDIVIDE - Cascade Divide Colo, In
63353        4      CP-TEL - CP-TEL, US
63912        4      RACKS-CENTRAL-SG-SG Racks Central Pte L
63956        4      COLO-AS-AP Colocation Australia Pty Ltd
64067        4      STACK-HK Stack Network Limited, HK
   24        3      AS24 - National Aeronautics and Space A
 1217        3      ORACLE-PACRIM-AS - Oracle Corporation, 
 1248        3      HERE , FI
 1321        3      ANSBB-ASNNET-1 - Advanced Networks & Se
 2162        3      HPES - Hewlett-Packard Company, US
 2490        3      MILNET-T20 - Bolt Beranek and Newman In
 2683        3      RADIO-MSU RADIO-MSU, RU
 2839        3      , SE
 3169        3      BRKNETWORKDEVICES , PL
 3226        3      MARK-ITT-AS , RU
 3242        3      ASN-ITNET , IT
 3300        3      BT , NL
 3367        3      F6NET - F6 Networks Inc, CA
 3640        3      CICESE, MX
 3833        3      WYOMING - wyoming.com, US
 4136        3      QUALITYTECH-JCYNYC - Quality Technology
 4261        3      BLUEGRASSNET - Intermart Inc., US
 4269        3      CERNET-ASN-BLOCK - California Education
 4434        3      ERX-RADNET1-AS PT Rahajasa Media Intern
 4645        3      ASN-HKNET-AP HKNet Co. Ltd, HK
 4927        3      IMPU - Impulse Internet Services, US
 5049        3      MORGAN-ASN - Morgan Stanley Group Inc.,
 5392        3      TELNET-ITALY TELNET S.r.l., IT
 5403        3      AS5403 , AT
 5404        3      CONOVA-AS ASN conova communications Gmb
 5409        3      TPL-ASN Robert-Bosch-Str. 20, DE
 5435        3      VELCOM-AS Kidriceva cesta 2a, SI
 5467        3      MIPT MIPT-NET, RU
 5664        3      SHERIDAN-NET - Sheridan College, CA
 5690        3      VIANET-NO - Via Computer and Communicat
 5778        3      CENTURYLINK-LEGACY-EMBARQ-RCMT - Embarq
 6296        3      MIND - InfoStructure, US
 6528        3      SOUTH-TELEP - SOUTH ARKANSAS TELEPHONE 
 6559        3      NCIH - State of NC - State Telecommunic
 6582        3      FRII - Front Range Internet Inc., US
 6623        3      CBSI-1 - CBS Interactive Inc., US
 6874        3      PSTU-AS , RU
 7131        3      ERX-ITE-AS IT&E Overseas, GU
 7341        3      VELOCITY - Velocity Network, Inc., US
 7465        3      PROCERGS - Cia de Processamento de Dado
 7468        3      CYBEREC-AS-AP Cyber Express Communicati
 7479        3      KDDHK-AS-AP KDD HONG KONG LIMITED, HK
 7672        3      FITWEB Hokuden Information System Servi
 8055        3      Value4Net do Brasil Serviços de Informá
 8194        3      VITA , LV
 8249        3      TOTCOM-AS , RU
 8309        3      SIPARTECH , FR
 8365        3      MANDA , DE
 8376        3      , JO
 8412        3      TMA Rennweg 97-99, AT
 8439        3      AIST Togliatti, Russia, RU
 8554        3      ATSAT ATSAT Autonomous System, FR
 8562        3      LICPLUS-AS , AT
 8565        3      BLUEGIX , FR
 8636        3      MAXNET Russia, RU
 8757        3      NSFOCUS , US
 8893        3      ARTFILES-AS Zirkusweg 1, DE
 8925        3      TEUTONET-AS , DE
 9039        3      IIAT-AS IIAT Autonomous System, RU
 9112        3      POZMAN POZMAN-EDU, PL
 9241        3      FINTEL-FJ Fiji International Telecomuni
 9244        3      ASN-DYXNET-TW-AP # AS-DYXNET-TW-AP CONV
 9263        3      PCCW-IMSBIZ-AP PCCW Business, HK
 9297        3      COLOCITY-AS-AP Colocity Pty Ltd, AU
 9351        3      ZLAN ZTV CO.,LTD, JP
 9676        3      SAVECOM-TW SaveCom Internation Inc., TW
 9797        3      NEXONASIAPACIFIC-AS-AP Nexon Asia Pacif
 9876        3      NOWNEW-AS-AP NOW New Zealand Ltd., NZ
10352        3      WCTC - Solarus, US
10838        3      OCEANIC-INTERNET-RR - Oceanic Internet,
11816        3      SetarNet, AW
11847        3      OTT - Mid-Maine Communications, Inc., U
11904        3      ATOM-MI-53-198 - AcenTek, US
11966        3      GLOBALDATASYSTEMS-ASN - GLOBAL DATA SYS
12119        3      ITV-3 - ITV-3, US
12324        3      LUBMAN-EDU-AS Poland, Lublin, PL
12361        3      PANAFONET-AS Athens, Greece, GR
12386        3      ASALPI Barcelona (SPAIN), ES
12387        3      TON , CH
12445        3      SPIDERNET-AS , IT
12676        3      NCORE-AS Hochstadenstr. 5, DE
12730        3      INECO_AS Ryazan, Russia, RU
12872        3      MEGASTYLE Internet Service Provider, UA
12941        3      INTERSAAR-AS , DE
12961        3      IE-VNET-AS , RO
13045        3      HTP-AS , DE
13119        3      ACI-COM-AS , PL
13121        3      NAVIGATOR , UA
13173        3      FORESHORE-AS , GB
13319        3      S-I-S - Storm Internet Services, CA
13438        3      VIVIO-TECHNOLOGIES - Vivio Technologies
13706        3      COMPLETEWEBNET - CompleteWeb.Net LLC, U
13727        3      ND-CA-ASN - NEXT DIMENSION INC, CA
13855        3      CFU-NET - The Municipal Communications 
14007        3      SOHOSKYWAY1 - Skyway West, CA
14988        3      BTC-GATE1, BW
15129        3      TRICOM-IL - Geneseo Telephone Company, 
15177        3      STARTOUCH-WA1 - STARTOUCH INC, US
15426        3      XENOSITE Amsterdam, NL
15428        3      DAGNET-AS , RU
15491        3      SILKNET , GE
15517        3      NETSTREAM-CH , CH
15805        3      SKYNET-CY-AS , CY
15919        3      INTERHOST , ES
15943        3      WTNET-AS , DE
16054        3      NSOELSV-AS Novosibirsk, Russia, RU
16154        3      TELECOMS-AS ISP, BG
16178        3      LOGOSOFT-AS Logosoft d.o.o., BA
16471        3      Adexus S.A., CL
16604        3      HUNTEL-NET - HUNTEL.NET, US
16668        3      GBPSW-AS - GBP Software, LLC, US
17226        3      ATT-CERFNET-BLOCK - AT&T Enhanced Netwo
17373        3      MCI-COV - MCI WorldCom, US
17428        3      CHINA-ABITCOOL 21Vianet.Co.,Ltd, CN
17686        3      ACCELIA ACCELIA, JP
18000        3      DIMENSIONCSA-AS-AU-AP Dimension Data Cl
18015        3      FASTCOM-AS-AP Fastcom Limited, NZ
18118        3      CITICNET-AP CITIC Networks Management C
18400        3      XTREME-AS-AP Xtreme Networks Limited, N
18474        3      AENEAS-CWUS - Aeneas Internet Services,
18671        3      PRTC-SC - PRTC, US
18839        3      2000FISHERISSS - FISHER SCIENTIFIC, US
18895        3      NUSTREAM-COMMUNICATIONS - Nustream Comm
18978        3      ENZUINC-US - Enzu Inc, US
19045        3      DIRECTCOM - Direct Communications Cable
19233        3      DIALOGIX - Dialogix Telecom, US
19237        3      OMNIS - Omnis Network, LLC, US
19315        3      Banelco S.A., AR
19373        3      Triara.com, S.A. de C.V., MX
19541        3      EA-ONLINE-NA1 - Electronic Arts, Inc., 
20029        3      H5-DATA-CENTERS-DENVER - H5 Data Center
20081        3      NET2ATLANTA - NET2ATLANTA.COM LLC, US
20257        3      FTC-INET - Farmers Telephone Cooperativ
20283        3      CTC-INTERNET-MN - CONSOLIDATED TELEPHON
20731        3      MEGATON-AS Moscow, Russia, RU
20847        3      PREVIDER-AS , NL
20926        3      PULSATION-AS , FR
20952        3      VENUS-INTERNET-AS , GB
21017        3      VSI-AS 35, Revolutsii prosp., RU
21142        3      PRAGONET-TRANSIT-AS , CZ
21156        3      DATAGRUPA - - - - - - - - - - - - -, LV
21175        3      WIS 23 Rue du Commerce, BE
21261        3      STELS Donetsk, Ukraine, UA
21263        3      TELEDATA-AS Kornblumenstr. 7, DE
21333        3      INVA-AS , IT
21472        3      SERVERHOUSE , GB
21491        3      UGANDA-TELECOM Uganda Telecom, UG
21922        3      WEBNET - WorldSpice Technologies, US
22070        3      CVILLEHOSTING - Blue Ridge Websoft, LLC
22243        3      CENTRACOMM - CentraComm Communications,
22298        3      XLITT - Xlitt, US
22438        3      CLEAR-RATE-COMMUNICATIONS - Clear Rate 
22637        3      C-R-T - Arialink, US
22768        3      SYNERGYBROADBAND-MI-02 - SYNERGY BROADB
22894        3      Network Information Center México S.C.,
22908        3      Sixsigma Networks Mexico, S.A. de C.V.,
23002        3      Primesys Soluções Empresariais S.A, BR
23184        3      PERSONA - PERSONA COMMUNICATIONS INC., 
23671        3      JMN-AS-ID Jogja Medianet, ID
23674        3      NAYATEL-PK Nayatel (Pvt) Ltd, PK
23783        3      CNA Cable Networks Akita Co.,ltd., JP
24198        3      JUPITERNET-AS-ID PT. Datakom Wijaya Pra
24201        3      ANDALASMEDIA-AS-ID PT. Andalas Media In
24229        3      KOCHI-IX IX-layers, Inc., Regional IXP 
24342        3      BRAC-BDMAIL-AS-BD BRAC BDMail Network L
24582        3      SYNNET-1 synaix Gesellschaft fuer angew
24611        3      DCLUX-AS 2, rue L?on Laval, LU
25308        3      CITYLAN-AS , RU
25446        3      ASN-TOMLINE , RU
25482        3      ISP-STATUS ISP STATUS, UA
25496        3      ZT-AS , SK
25543        3      FasoNet-AS, BF
26225        3      PCM-ATL-HOSTING - PCM Sales, Inc, US
26484        3      HOSTSPACE - HOSTSPACE NETWORKS LLC, US
26689        3      LIGHTPOINT-COMMUNICATIONS - LIGHTPOINT 
26810        3      HHSNET-NOC-ASN - U.S. Dept. of Health a
26903        3      SALISBURY-ASN - City of Salisbury, Nort
26994        3      VERISPACE - VeriSpace LLC, US
27195        3      CAVERN-TECHNOLOGIES - EPIC Alliance, In
27400        3      CLEARFLY - Clearfly Communications, US
27717        3      Corporacion Digitel C.A., VE
27814        3      Aeprovi, EC
27929        3      Red Avanzada Guatemalteca para la Inves
28005        3      Digicel (Panama), S.A, PA
28007        3      Gold Data C.A., VE
28036        3      Telefonia Celular de Nicaragua SA., NI
28125        3      Elo.Net Tecnologia Ltda. - ME, BR
28163        3      Cosmonline Informática Ltda, BR
28292        3      ENGEPLUS INFORMATICA LTDA, BR
28331        3      PaintWeb Internet Ltda, BR
28352        3      NETSPEED LTDA, BR
28502        3      G TEL Comunicacion, S.A.P.I. de C.V., M
28512        3      Cablemas Telecomunicaciones SA de CV, M
28546        3      Servnet Mexico, S.A. de C.V., MX
28654        3      Axtelecom Telecomunicações Ltda, BR
28676        3      WITCOM-AS , DE
28707        3      KANGAROOT-AS Kangaroot Networks, Brusse
28886        3      OPTRON-AS OPTRON Fiber Optic Telecommun
29031        3      LTC , UA
29182        3      ISPSYSTEM-AS ISPsystem Autonomous Syste
29285        3      AMTMGTS-AS , RU
29535        3      TPIX , PL
29670        3      IN-BERLIN-AS Individual Network Berlin 
29686        3      PROBENETWORKS-AS , DE
29687        3      BGWAN-AS Varna, Bulgaria, BG
29760        3      M2-CONNECTIONS - M2 Connections, US
29870        3      CASCADE-NETWORKS-INCORPORATED - Cascade
30027        3      STINET-1 - S & T COMMUNICATIONS LLC, US
30032        3      GENESIS-TECHNOLOGY - GENESIS TECHNOLOGY
30119        3      PLUMAS-SIERRA-TELECOMMUNICATIONS - Plum
30524        3      NEXGEN-NETWORKS - NEXGEN NETWORKS, US
30539        3      FLOWFINITY - Flowfinity Wireless Inc, C
30583        3      QUANTUM - Quantum Communications LLC, U
30640        3      ETHERIC - Etheric Networks, Inc., US
30740        3      EXA-NETWORKS Exa Networks Limited, GB
30766        3      GGEWNET-AS Dammstrasse 68, DE
30870        3      TRANS-IX-AS Trans-iX Autonomous System,
30914        3      IOKO-AS , GB
30981        3      HSS-MOO-AS , SA
30997        3      GIXA-AS, GH
31172        3      QFAST-AS Qfast BV provides; Broadband, 
31430        3      TEL-NET-AS , RU
31479        3      IPORIUM , ES
31484        3      DIRECT-TELECOM-AS , RU
31608        3      GAWEX-AS Plac Wolnosci 11 Szczecinek, P
31760        3      E-NOVATIONS - e-Novations ComNet Inc., 
31856        3      CABS, ZW
32020        3      TRANSACT-BM-ASN - Transact Ltd., BM
32028        3      AS32028 - CoastCom, Inc., US
32034        3      NEWCOM-INTL - NewCom International, Inc
32625        3      OFFSITE-1 - OFFSITE, LLC, US
32678        3      FIDALIA-AS - Fidalia Networks Inc., CA
33302        3      ONS-COS - Data 102, LLC, US
33392        3      DAUPHIN-TELECOM - Dauphin Telecom, MF
33489        3      COMCAST-33489 - Comcast Cable Communica
33567        3      TELECOM-LESOTHO, LS
33924        3      PRONET-AL-AS , AL
34019        3      HIVANE , FR
34171        3      INTERDOTNET-LIG-AS , DE
34254        3      HORNET-AS , PL
34270        3      INETC , GB
34629        3      ORNRU-AS , RU
34878        3      KIT Karlsruhe Institute of Technology, 
35179        3      PROVIDER-WROCLAW ul. Nabycinska 19, PL
35280        3      ACORUS , FR
35362        3      BEST Best ISP, UA
35425        3      BYTEMARK-AS , GB
35737        3      RIAD-AS , UA
35937        3      MARQUISNET - MarquisNet, US
35962        3      MSA-ASN - Management Science Associates
36253        3      DCIUNET - Delaware County Intermediate 
36498        3      ACCESS-ONE-INC-AS - Access One Inc., US
36696        3      POGOZONE-SEA - PogoZone, US
36881        3      MULTITEL, AO
36890        3      MTNRW-ASN, RW
36916        3      X-DSL-NET1, ZA
36920        3      KKON, NG
36923        3      SWIFTNG-ASN, NG
36925        3      ASMedi, MA
37032        3      Alinkghana-as, GH
37037        3      ORANGEMG-AS, MG
37063        3      RTL-AS, UG
37184        3      POWERTEL, ZW
37203        3      LIBTELCO, LR
37209        3      HYPERIA, NG
37357        3      SAINET, ZA
37358        3      BITCO, ZA
37517        3      CV-Multimedia, CV
37594        3      MTNSS, SS
38203        3      ADNTELECOMLTD-BD ADN Telecom Ltd., BD
38462        3      OCE-AS-AP Osaki Computer Engineering Co
38710        3      WORLDCALL-AS-LHR Worldcall Broadband Li
38735        3      GDS-AS-VN Global Data Service Joint Sto
38790        3      SPIRIT-TELECOM Spirit Telecom (Australi
39020        3      COMVIVE-AS Madrid - Spain, ES
39056        3      ANOXIN , UA
39197        3      BYNETT-NORWAY NORWAY, NO
39273        3      KALAAM-TELECOM-BAHRAIN , BH
39434        3      DAGESTANTELEKOM-AS , RU
39470        3      ATRIUMNETWORK ATRIUM NETWORK, GB
39526        3      TELECOMMD-AS , MD
39537        3      HNS http://www.hns.net, GB
39636        3      ASN-AEMNET , IT
39701        3      SKYLINE-AS Internet Service Provider, T
39904        3      MERIT-AS MERIT GROUP a.s., CZ
40015        3      MOVECLICKLLC - Yellow Fiber Networks, U
40217        3      SPG-IX - The St. Paul Group, US
40414        3      OPTIVON - Optivon, Inc., PR
40473        3      AS-PLATINUM-COMMUNICATIONS - Xplornet C
40511        3      FIRELINE - Fireline Network Solutions, 
41165        3      UNTC-AS , UA
41168        3      GTC-AS , UA
41176        3      SAHARANET-AS Sahara Net Main NOC AS, SA
41364        3      TOPIX-PDI-AS Consorzio Topix - Torino e
41440        3      SIBIRTELECOM-AS http://www.sibirtelecom
41704        3      OGS-AS , RU
41710        3      MIITLTD-AS , UA
41931        3      EURONET-AS , PL
41960        3      NEXTPERTISE Nextpertise, NL
41976        3      SZKTI-AS , RU
42163        3      IRANGATE , IR
42277        3      KURSKTELECOM-AS CUSTOMERS:, RU
42291        3      ISTRANET-AS customers Lactalis, RU
42303        3      FIBERDIREKT , SE
42466        3      METEORIC-AS , GB
42765        3      INFOTECH-LINER-AS , RU
43284        3      IWB-TELEKOM Industrielle Werke Basel, C
43352        3      TELETEK-CLOUD , TR
43545        3      TELEDATA , GB
43557        3      ASEMNET , DK
43802        3      SUPERSKY Russian Federation, Republic o
44514        3      INOTEL-AS , PL
44558        3      NETHOUSE , TR
44579        3      TNGS-FARNORTHNET , RU
44611        3      TALKINTERNET , GB
44628        3      DUNA-AS , UA
44655        3      METROLINE-AS , PL
44677        3      MTS-KRV-AS , RU
44826        3      PCNET-CATV-AS , RO
44963        3      POTOK-AS , RU
45013        3      ECONOTEL-AS , RU
45025        3      EDN-AS , UA
45142        3      LOXLEYBB-TH-AS-AP Loxley Wireless Co. L
45280        3      NZTECHNOLOGY-AS-AP New Zealand Technolo
45328        3      NIPA-AS-TH NIPA TECHNOLOGY CO., LTD, TH
45582        3      VAINAVIINDUSTRIESLTD-IN VAINAVI INDUSTI
45669        3      MOBILINK-AS-PK PMCL /LDI IP TRANSIT, PK
45671        3      SAU-NET-AU Servers Australia Pty Ltd, A
45680        3      DOVA-NET DOVA Corporation, JP
45762        3      ACCESS-NETWORKS-AS Access Networks and 
46055        3      ROKA-AS-ID PT ROKA LANE ASIA, ID
46664        3      VOLUMEDRIVE - VolumeDrive, US
46692        3      CITYOFWINDOM - City of Windom, US
46844        3      ST-BGP - Sharktech, US
47020        3      DATA-CAVE - Data Cave, US
47143        3      TDHN , GB
47379        3      SITS-AS , UA
47608        3      GIGALIS-AS , FR
47623        3      IIAP-ASNET-AS , AM
48517        3      DESTINY-BACKBONE International Backbone
48551        3      SINDAD , IR
48943        3      KAPPERNET , AT
49115        3      EMAX_AS1 http://www.e-max.sk, SK
49204        3      ITT-UA-AS , UA
49315        3      CENTRSVYAZ-AS , RU
49458        3      INTELLIN-AS , RU
49583        3      KOM_LAN_LTD-AS , RU
49931        3      SITKOM-AS , CZ
49981        3      WORLDSTREAM +++ Transit Imports, NL
50241        3      UNITTEL-AS ------------------------ Upl
50362        3      KTM-PLUS-AS , UA
50625        3      KROSOFT-AS , PL
51155        3      TBTELECOM , PL
51235        3      ADG-AS , IR
51406        3      UK2CONNECTUK-AS , GB
51484        3      BLOKOWE , PL
51528        3      CENTR-AS , UA
51555        3      IXP-3T , BG
51762        3      BDC-ADV-UK , GB
51904        3      UTEX-AS , RU
51972        3      MIRANET-NET , UA
52173        3      MAKONIX , LV
52201        3      TCTEL , RU
52233        3      Columbus Communications Curacao NV, CW
52263        3      Telecable Economico S.A., CR
52284        3      Panamaserver.com, PA
52376        3      CABASE Camara Arg de Base de Datos y Se
52549        3      NET PREMIUM LTDA - ME, BR
52629        3      W.E.K. INFORMATICA LTDA - ME, BR
52729        3      BrNet Informatica, BR
52824        3      M.J. VENTURA LTDA, BR
52845        3      LIVE NETWORK PROVEDOR E SERVICOS DE INT
52858        3      A & G Serviços em TI, BR
52936        3      ISOTELCO LTDA, BR
