15M          Fifteen minutes
MCHB         Maintenance channel buffer
MCI          Malicious call identification (i.251 g)
MCI          Microwave communications incorporated
MCIAS        Multi-channel intelligent announcement system
MCIAS        Multi-channel intercept announcement system
MCINT        Mate control interrupt
MCL          Maintenance change list
MCN          Machine congestion level # where MCI=machine congestion level
MCN          Master control number
MCN          Metropolitan campus network
MCOS         Multiplexer out of synchronization
MCP          Mechanized credit provisioning system
MCR          Establish a maintenance change repair
MCR          Mass call register
MCS          Master cpu subsystem
MCS          Meeting communications service
MCS          Multiple console support
MCTAP        Mechanized cable transfer administration plan
MCTRAP       Mechanized customer trouble report analysis plan
MCTSI        Module controller/time slot interchange
MCTSI        Module controller/time-slot interchange unit
MCW          Maintenance change ticket withdrawal
MD           SS7fe message distributor
MD/RS        Mechanized denial/restoral system
MDACS        Modular digital access control system
MDC          Manually disconnect a working circuit
MDC          Marker distributor control
MDC          Materials distribution center
MDC          Meridian digital centrex
MDCMES       Management development center mechanized enrollment system
MDF          Main distributing frame
MDF          Main distribution frame
MDII         Machine detected interoffice irregularities
MDII         Machine-detected interoffice irregularity
MDIS         Marketing data interface system
MDLIE        DLI interface error
MDOG         Mechanized disbursement of gasoline
MDP          SS7 fe message distribution protocol
MDR          Mechanized draft reconciliation
MDR          Message detail record
MDS          Message design systems
MDT          Management development/training
MDU          Marker decoder unit
MDX          Modular digital exchange
ME           Management employment
ME & ASSM    Management employment & assessment
ME CORP      Corporation management employment
MEANS        Model for economic analysis of network service
MEAS         Measure
MEASMT       Measurement
MEC          Maintenance engineer center
MEC          Manually establish a circuit
MEC          Mobile equipment console
MECA         Mechanization of engineering & circuit provisioning
MECAB        Multi exchange carrier access billing
MECCRRF      Mechanized credit reference system
MECH         More efficient call handling
MECOD        Multiple exchange carrier ordering and design
MED          Medium threshold
MED          Multipoint end-link data
MEDPLUS      Medicare part b reimbursement payments
MEDS         Mechanized expense distribution system
MEF          Master employee file
MELD         Mechanized engineering and layout for distributing frames
MEP          Medical expense plan
MERITS       Measurement of exchange records integrity through sampling
MERP         Mechanization of estimate results plan
MERS         Most economic route selection
MERT         Master employee record tape
MESA         Mechanized edits of street address
MESS         Message
MET          Multibuton electronic telephone
MET          Multibutton electronic telephone
METASX       Metallic access
MF           Mainboard firmware (IOS)
MF           Multi frame
MF           Multi frequency
MF           Multifrequency
MF           Multiplexer frame
MFAS         Mechanized forecasting and analysis system
MFC          Master file directory (VMS-catalog of UFDS)
MFC          Modular feature construction
MFC          Multiple frame operation control (IOS)
MFENET       Magnetic fusion energy network
MFFAN        Miscellaneous frame (CM2 offices only)
MFJ          Modification of final judgement
MFJ          Modification of final judgment
MFJ          Modified final judgment (consent decree)
MFR          Discmanufacture discontinued
MFR          Mechanized force report
MFR          Multi-frequency receivers
MFRS         Management force reporting system
MFS          Message formatting service-ims (IBM)
MFT          Metallic facility terminal
MFT          Multiprogramming with a fixed number of tasks
MG           Marker group
MG           Marker group number
MG           Mastergroup
MGB          Main ground bus
MGB          Master ground bar
MGBAF        Maintenance group blocking acknowledgment failure
MGR          Manager
MGSC         Message service customer counts
MGSG         Message service multi-line hunt
MGT          Mastergroup translator
MGUAF        Maintenance group unblocking acknowledgment failure
MH           Modified huffman code (fax)
MHD          Moving head disk
MHD          Moving head disk drive(s) used in the am.
MHDC         Moving head disk control
MHDDC        Moving head disk data/clock
MHS          Message handling service
MHS          Message handling system
MHZ          Megahertz
MI           Machine interface
MI           Message interface  on the
MI           Swbt minimal input
MIAS         Marketing information analysis system
MICA         Mechanized intercompany contract administration
MICC         Minicluster controller
MICE         Modular integrated communications environment
MICI         Mechanized independent company input
MICR         Minimal input customer records
MICRO/TEL    Micro/tel force analyzer
MICS         BTL maintenance space inventory control system
MICU         Message interface and clock unit
MICU         Message interface clock unit
MID          Master interim design
MIFM         Mechanized installation force management
MIG          Mechanized interval guide system
MIIS         Management inventory information system
MIMIC        Mts-wats intrastate model for incremental cost
MIN          Minimum
MIN          Minimum percentage value of entity fill or minimum CCS value
MIN          Mobile identification number
MINX         Multimedia information network exchange
MIOIO        I/O invalid operation error
MIOLE        I/O lock error
MIOPE        I/O bus parity error
MIOTO        I/O timer time out error
MIOUE        I/O unlock error
MIP          Microprocessor interface port
MIPP         Management surplus income protection plan
MIPS         Million instructions per second
MIR          Micro-instruction register
MIRA         Maintenance input request administrator .
MIRA         Mark iv information retrieval aid
MIS          Management information system
MIS          Mechanized intercepting system
MIS/C        Management information system/computer
MISC         Miscellaneous
MISCF        Miscellaneous frame
MISS         Management information staffing system
MITS         Microcomputer interactive test system
MIU          Metallic interdace unit
MIZAR        Management job evaluation
MJEC         Multiple job function codes
MJF          Modified final judgement
MJU          Multipoint junction unit
MKBUSY       Make busy.
MKR          Marker
MKTG         Marketing
ML           Matching loss
MLAC         Manual loop assignment center
MLC          Miniline card
MLC          Monitor level code
MLCD         Multi-line call detail
MLH          Multiline hunt
MLHG         Multi-line hung group
MLHG         Multiline hunt group
MLI          Message link interface
MLIIBLNG     Microlink II billing
MLNC         Failure to match and no circuit
MLPA         Modifiable link pack area (IBM)
MLSS         Machine load service summary
MLT          Mechanized loop test
MLT          Mechanized loop testing system
MLT-1        Mechanized loop testing system-1
MLT-2        Mechanized loop testing - the second generation of equipment
MLT-2        Mechanized loop testing system-2
MMA          Multi-module access unit (Univac)
MMC          Manually modify a circuit
MMC          Minicomputer maintenance center
MMEME        Memory system error
MMG          Minicomputer maintenance group
MMGT         Multimastergroup translator
MMI          Man-machine interface
MML          Man machine language
MMM          Message mile minute
MMOC         Minicomputer maintance operation center
MMOC         Minicomputer maintenance operations center
MMOCS        Minicomputer maintenance and operations center system
MMP          Module message processor
MMPP         Mechanized market programming procedures (BTL)
MMRCS        Minicomputer maintenance and repair center system
MMS          Main memory status
MMS          Memory management system
MMS/SSII     Marketing measurement system/support system II
MMS43        Modified monitoring state 43 code
MMSU         Modular metallic service unit
MMT          Multiple message threshold
MMU          Memory management unit (IOS)
MMX          Mastergroup multiplex
MN02         List of circuits in trouble in memory
MNP          Microcom networking protocol
MOC          Machine operations center
MOC          Maintenance and operations console
MOC          Maintenance operation console
MOC          Ministery of communication
MOC          Moe order completion
MOD          Ministery of defense
MOD          Modifier
MOD          Modulated
MOD          Module number
MOD1         Miscellaneous per SM measurements (MOD1)
MODCOES      Modified central office cost
MODEM        Modulator-demodulator
MOE          Mass oe transfers
MOF          Mass oe frame transfer listings
MOG          Minicomputer operations group
MOI          Maintenance and operation interface
MOI          Mizar order inquiry
MOMS         Missouri marketing system
MON          Monitor
MON          Monitor channel (i.e. IOM2)
MON          Mouth
MOOSA        Mechanized out of service adjustment system
MOOSE        Macs online organization system entry (distribution services)
MOS          Maintenance and operations subsystem
MOS          Metal oxide semiconductor
MOSOP        Mechanized operator services occupational payroll
MOST         Managing operations systems in transition
MOSTED       Motor vehicle/special tools expense distribution
MOT&R        Master office test and release circuit
MOTS         Mechanized operations tracking system
MOU          Minutes of use
MOU-AS       The annual study module of DRP/MOU
MOU-DA       The data accumulation module of DRP/MOU
MOVE         Move remote line Concentrating module
MOW          Moe order withdrawal
MP           Maintance POSITION
MP           Message processing program
MP           Microprocessor
MP           Multi-processor
MPAP         Management potential appraisal plan
MPC          Marker pulse conversion
MPC          Messages per customer
MPC          Mp command
MPCG         Message processing clerical guide
MPCH         Main parallel channel
MPDB-OS      Outside plant-pair gain
MPDBCOAR     MPDB-central office equipment and repair services
MPDBSRVC     Office supplies computers and other services
MPDU         Message protocpl data units (x.411)
MPES         Message processing entry system
MPFRS        Mechanized project force requirement system
MPI          Mechanized project impact system
MPK          Modify work package
MPLR         Mechanized plant location records system
MPLUM        Mechanized plant utilization management
MPN          Master work package number
MPOOS        Modem pool line out of service.
MPOW         Multiple purpose operator workstation
MPPD         Multi-purpose peripheral device
MPRIN        Mate peripheral interrupt
MPS          Mechanized pension system
MPS          Misplaced start pulse
MPS          Misplaced start pulse (MDII)
MPT          Message transfer part
MPTS         Market planning and tracking system
MQ           Metalic customized-service code for LATA access
MQH          Marker queue high
MQL          Marker queue low
MR           Maintenance request (BTL)
MR           Measured rate
MR           Message rate (BSP)
MR           Message register
MR           Message register COSMOS command
MR           Modified read (relative element address designate
MR           Monitor read (flow control bit in IOM2)
MR/IBPS      Management report/integrated budget and planning system
MRAA         Meter reading access arrangement
MRCS         Modification request control system
MRDB         Memory resident data base
MRDYT        Ready time out
MRF          Maintenance reset function
MRF          Message refusal received (outgoing)
MRF          Message retention file
MRFA         Mechanized repair force administration
MRFF         Master reference frequency frame
MRFIS        Mechanized request for information systems
MRO          Message register option
MRP          Mechanized revenue planning system
MRPS         Mobile radio priority system
MRR          Mandatory review reporting
MRS          Management reporting system (TNDS)
MRSELS       Microwave radio & satellite eng. & lic
MRTI         Message-rate treatment index  (AMA NTI)
MRTS         Mechanized real time tracking system
MRTTA        Message recording trunk trouble analysis
MRWPE        Read or write parity error
MS           Machine screw (BSP)
MS           Maintenance state
MS           Measured service
MS           Mechanized scheduling
MS           Memory subsystem
MS           Menue software (sipb.exe)
MS           Microseconds
MS6E         Message switching #6 equipment
MS7E         Message switching #7 equipment
MSA          Management science america
MSAG         Master street address guide
MSC          Media stimulated calling
MSC          Minimum service charge
MSCP         Mass storage control protocol
MSCS         Management scheduling and control system
MSCU         Message switch control unit
MSCU         Message switch controller unit
MSDS         Material safety data sheet system
MSFDB        Market share forecast data base
MSGBUF       Message buffer
MSGCLS       Message class
MSGLOCK      Message lock
MSGNO        Message number
MSGP         Microcomputer support group programming
MSGS         Message switch
MSK          Output a transaction mask
MSKMR        Mate reset
MSM          Multi-state marketing system
MSMTCH       Mismatch.
MSN          Multiple subscriber number (i.251 b)
MSORS        Mechanized sales office record system (BTL)
MSP          Management salary plan
MSP          Metropolitan service plan
MSPR         Message switch peripheral unit
MSR          Marketing surveys and reports
MSR          Mechanized sales results system (mbt directory sales)
MSR          Mechanized service record
MSR          Mizar status report
MSR/DIS      Mechanized service record/disability subsystem
MSS          Mass storage system
MSS          Mss is a dialup for... database of 1800 numbers...
MSSS         Mechanized supply stock system
MSTIC        Mechanized standard time increments (we/eplans)
MSTS         Measured service tracking system
MSU          Message signal unit
MSU          Metallic service unit
MSU          Msg. signal unit (SS7)
MSUCOM       Metallic service unit common
MSUS         Measured service usage studies
MSUSM        Subunit select mismatch
MT           Master record tape unit number or tape drive to write
MT           Wired music INTER/TRA blocal 1-26
MTA          Message transfer agent (x.400)
MTAE         Message transfer agent entity (x.400)
MTB          Magnetic tape billing
MTB          Metallic test bus
MTC          Facs maintenance transaction
MTCE         Maintenance (default).
MTCE         Maintenance parameters
MTD          Magnetic tape drive
MTD          Mutilated digit
MTD          Mutilated digit (MDII)
MTECS        Iimechanized toll error correction system phase ii
MTECS        Mechanized toll error correction system
MTEL         Main telephone
MTF          Master test frame
MTH          Magnetic tape handler
MTIB         Metallic test interconnect bus
MTIBAX       Metallic test interconnect bus access
MTINT        Miscellaneous timer interrupt
MTL          Maximum termination liability
MTLR         Mechanized trouble log report
MTLT         Maintance transmission action limit table
MTM          Maintenance trunk module (NTI)
MTO          Master terminal operator
MTP          Management transitional program
MTP          Message transfer part (SS7: q.701-q.710)
MTP          Message transfer part.
MTP          Message transfer protocol (x.411: p1)
MTR          Manually test a response
MTR          Mechanized time reporting
MTR          Tape drive to read
MTRS         Marketing or management time reporting system
MTRS         Mechanized training records system
MTRS/FCC     Management time reporting system/fcc report
MTRT         Mate ready time out
MTS          Manual test system
MTS          Memory time swich     peb2040
MTS          Message telecommunications service
MTS          Message telecommunications system
MTS          Message telephone service
MTS          Message teleprocessing system
MTS          Message toll service
MTS          Mobile telephone service
MTSC         MTS CMOS    (512 incoming channels)
MTSDB        Message telecommunications services data base
MTSI         Msg telecommunications ser price index
MTSL         MTS large  (1024 incoming channels)
MTSO         Mobile telephone switching office
MTSS         MTS small   (256 incoming channels)
MTTP         Master trunk test panel
MTU          Magnetic tape unit parameters
MTU          Maintenence termination unit
MTU          Media tech unit
MTW          Tape drive to write
MTX          Mobile telephone exchange
MU           Maintenance usage
MU           Message unit
MUC          Material usage code
MULDEM       Multiplexer-demultiplexer
MULT         Multiple
MUM          Measured unit message
MUNICH       Multichannel (32) network interface controller
MUPH         Multiple position hunt
MUSAC        Multipoint switching and conferencing unit
MUSIC        Modeling for usage sensitive incremental costs
MUT          Miniaturized universal trunk frame
MUT          Multi-unit-test
MUX          Multiplex
MUX          Multiplexer
MVAS         Motor vehicle accident summary
MVCCW        Commstar ii call waiting USOC
MVP          Multiline variety package
MVS          Multiple virtual storage
MVS          Multiple virtual storage operating
MVS/MODS     TSO display operator messages from programs running under
MVS/SP       Multiple virtual storages/system product operating system
MVS/SPA      Multiple virtual storages/system product assist operating
MVS/XA       Mutliple virtual storage/extended architecture
MVT          Multiprogramming with a variable number of tasks
MVTC         Motor vehicle type code
MW           (ger) service word
MW           Mandatory work
MW           Multiwink
MWCP         Mechanized wire centering program (BTL)
MWI          Message waiting indicator
MWPER        Write protect error
MX           Monitor transmit (flow control bit in IOM2)
MXU          Multiplex units
MXU          Multiplexer unit
N            Estimated time to complete this ticket.
N            No corrective action
N(R)         (NR) receive sequence number
N(S)         (NS) transmit sequence number
NA           CSACC link (EPSCS) INTER/TRA blocal 1-26
NA           Next address
NA           Normal alignment
NAAP         New affirmative action program
NAB          Network analysis bureau
NAC          Network administration center
NAC          Network application center
NAC          Non-area code
NACK         No ground acknowledgment received on a ground start private facility (FX) trunk
NAFMAP       Network administration force management and productivity
NAG          Network architecture group
NAI          Telephone number assignment inquiry
NAK          Negative acknowledge
NAM          Number assignment module
NAND         Not-and gate
NANP         North american numbering plan
NAP          Network access pricing
NAP          Network analysis program (BTL)
NAR          Nac assignment review
NARS         National yellow pages services accounts receivable system
NAS          Network analysis system
NAS          Numerical and atmospheric sciences network
NAS/CARS     Network analysis system/central analysis report system
NAS/SRS      Network analysis system/subscriber recording system (MBT)
NASS         Network adminstration support system
NATL         National code (NTI)
NAUG         Network administration user group
NB           Narrow band
NBSY         Number of busy (trunks) (NTI)
NC           CNCC link (SPSCS) INTER/TRA blocal 1-26
NC           Network channel
NC           No circuit
NCA          No circuit announcement
NCAT         Network cost analysis tool
NCC          National coordinating center (national emergency)
NCC          Network control center
NCC          Notify corrupted CRC (in EOC)
NCCF         Network communication control facility (IBM vtam/mcp option)
NCCF         Network communications control facility
NCD          Network call denial
NCDAFTA      NCD denied after answer
NCDAFTA      Network call denial (NCD) denied after answer
NCDBEFA      NCD denied before answer
NCDBLKD      NCD returned blocked
NCDCCBL      NCD code control blocked
NCDDBOV      NCD data base overload
NCDDBOV      NCD database overload
NCDDENY      NCD deny received
NCDDSBL      NCD direct signaling blocked
NCDNOXL      NCD returned no translation
NCDOVLD      NCD returned overload
NCDUNEQ      NCD returned unequipped
NCH          Noch
NCI          Network channel interface
NCI          No card issue
NCLK         Network clock
NCLS         Non-capitalized lease system
NCMASTER     No circuit master
NCOO         Network central office operations
NCOS         Dms 100 class of service
NCOSC        Network clock 2 oscillator
NCOSS        Network communication and operations support system
NCP          National control point
NCP          Network control point
NCP          Network control point (in a SDN)
NCP          Network control program (IBM3725 software)
NCR-         Sclrnetwork completion report-system called line report system
NCRPAB       Network cost results plan
NCS          National communications system
NCS          National communicatons system
NCSPC        Non-conforming stored program control
NCT          Network control and timing
NCT (CP)     Network control and timing call processing
NCT LINKS    Network control and timing links
NCTE         Digital network channel equipment
NCTE         Network channel terminating equipment
NCTE         Network channel terminating equipment (FCC NT1)
NCTLNK       Network control and timing link
NCU          Network control unit
ND           Network data line INTER/TRA blocal 1-26
NDA          Network data analyzer
NDA          Network delivery access
NDBS         Network data base system
NDC          National destination code (i.e. area code)
NDC          Network data collection
NDC          Node data collection
NDCC         Network data collection center
NDIS         National dial-it services
NDPCC        Network data processing coordination center
NDRAS        Network distribution resource administration system
NDS          Network data system
NDS          Network distribution services
NDS-TIDE     Network data system-traffic information distributor and
NDS/ANN      Announcement system - System/36
NDS/BMR      Bmrbudget morning report - System 36
NDS/CONAD    Conadcontract administration system - System 36
NDS/FLEXNDS  Flexible reporting
NDS/FORMS    Mechanized forms - System 36
NDS/MT       Mechanized tool interface - System 36
NDS/PDB      Personnel database - System 36
NDU          Network data unit
NE           Near end
NE           Network element
NE           Network elements
NEAS         Non-optional extended area service
NEBE         Near end block error (IOM2 monitor message)
NEBS         Network equipment-building system
NEBS         Network equlpment-building system
NEBS         New equipment-building system
NECA         National exchange carrier association
NECC         National emergency coordination center (bellcore)
NEG          Negative
NEON         Nonmanagement employee opportunity network
NERC         National emergency relocation center
NESAC        National electronic switching assistance center
NESC         National electric safety code
NET          (ec) european standards of telecommunication
NETPARS      Network performance analysis reporting system (IBM Vtam)
NETPRT       Netprt
NETS         Nationwide emergency telecommunications system
NETTIMS      Nettims
NETWORK      Sidethe segment of the time slot interchanger (TSI) that is
NEXT         Near end cross (x) talk
NEXT         Near end crosstalk
NEXT         Node exhaust tool system
NFID         Non-fielded id
NFM          Network force management
NFS          Network file system
NFT          Network file transfer
NG           No good
NGF          Number group frame
NGF          Number group frame for 5 Cross Bar
NHLS         Next higher level support
NHR          Non hierarchial routing
NHR          Not hard to reach
NI           Network interface
NI/NC        Network interface/network channel
NID          Network in dialing
NID          Network information database
NIP          Nucleus initialization program
NIPA         Net income and productivity analysis
NIRS         National yellow pages services invoice receiving system
NIS          Operation system-intelligent network elements
NIS(FLEXCOM) Network interface system - OPS/INE
NKP          No key pulse
NKP          No key pulse (MDII)
NL-PG        Line number page
NLD          Nonlinear distortion
NLD-SN       Nonlinear distortion signal/noise
NLDM         Network logical data manager (IBM VTAM option)
NLP          Network layer protocol
NM           Network maintenance
NM           Network management
NM           Network management.
NM           Network module
NMA          Network management applique
NMA          Network monitoring and analysis
NMAT         Nonmanagement attendance tracking system
NMB          Network management busy (NTI)
NMC          Network management center
NMC          Network mondule controller (NTI)
NMDT         Network management display terminal (AT&T)
NMMPEN       Network maintenance management planing
NMOS         Network management operations support
NMPR         Network management printer (AT&T)
NMS          Network management services
NMS          Network management system
NN           Two digit number
NNN          Three digit number
NNNN         Four digit number
NNX          Central office code designating the customer exchange
NNX          Network numbering exchange
NNX          Telephone exchange code
NO           Number
NOC          National operations center at Bedminister N.J.
NOC          Network operations center
NOC          Normalized office code
NOCS         Network operations center system
NOD          Network out dialing
NODAL        Network operations forum
NOE          Number of oes to be assigned
NOL          Nac service order listing
NOMAD        No-op instruction
NOPS         Network operations plan system
NOR/TADS     North region/testing and development system
NORAD        North american air defense command
NORGEN       Network operation report generating
NORGEN       Network operations report generator
NORGEN       Network operations report generator system
NORM         Normal
NORM         Return to normal (IOM2 monitor command/message)
NOS          Network operating system
NOTIS        Network operations trouble information system
NOW          Network optical warehouse
NP           Non-published
NPA          Area code and exchange number
NPA          Network peformance analyzer (IBM)
NPA          No power alarm
NPA          Numbering plan area (area code)
NPAP         Nonmangement performance appraisal plan
NPC          Network processor circuit
NPC          No parameter choices
NPDA         Network problem determination applicator (IBM)
NPH          Network protocol handler
NPM          Network performance monitoring system
NPS          Network planning system
NPSI         Ncp packet switching interface
NPUMP        Normal pump
NPV          Net present value
NQ           Telegraph customized-service code for LATA access
NR           No response.
NRAS         Nova/rider awards system
NRC          Non-recurring charge
NRG          Number of rings
NRM          Normal response mode (hscx)
NRM          Normalizing ccs value
NRODD        Non-redundant ODD
NRRI         National regulatory research institute data
NRRT         Non-reroutable traffic
NRS          Network routing system (MBT)
NRT          No response while in test mode.
NRZ          Non return to zero
NRZC         Nrz change
NRZI         Nrz inverted
NRZM         Nrz mark
NSA          National security agency
NSAC         Network service administration center
NSACGCOMP    NS SCP ACG component
NSBADRESP    NS SCP response message with invalid data
NSC          Network service center
NSCMP        Network service center multi (dddcservice bureau)
NSCS         Network service center system
NSD          No start dial
NSD          Number summary display
NSDB/IA      Network and service data base/interface administration
NSE          Network switching engineering
NSE          Noise
NSEC         Network switching engineering center
NSEP         National security emergency preparedness
NSFNET       National science foundation network
NSN          Network services node
NSNONRTEMSG  NS reject message
NSP          Network service part (SS7: SCCP+MTP)
NSP          Non sent paid (coin)
NSPEC        Node spec file
NSPMP        Network service performance measurement plan
NSPMP        Network switching performance measurement plan
NSPRR        Network switching performance results report
NSQRYFAIL    NS query fail
NSS          Network support system
NSSD         Network switched services district
NSSNCOMP     NS SCP response message with a send notification
NSSNCOMP     NS SCP response message with a send notification received at the switch
NSTAC        National security telecommunications advisory committee
NSTNMSG      NS termination notification message sent from the switch to the SCP
NSTS         Network services test system
NSU          Network support utilities
NSs          Network system (i.e. DACS; SDACSL CDACSL OSU; CSU... etc)
NStA         (Ger) PBX
NT           Network termination
NT           Northern telecom
NT           Protection alarm-metalic-service code for LATA access
NT/S         NT simulator     SIPB7020
NT01         Network frame unable to switch off line after fault detection
NT02         Network path trouble trunk to line - 1AESS network trouble
NT03         Network path trouble line to line - 1AESS network trouble
NT04         Network path trouble trunk to trunk - 1AESS network trouble
NT06         Hourly report of network frames made busy - 1AESS network trouble
NT1          NT serving layer 1 (NCTE)
NT10         Network path failed to restore -1AESS network trouble
NT2          NT serving layer 1 to 3 (subscriber interface of nt
NTC          National trunk congestion
NTD          Normal direction
NTDACT       Network termination (NT) is deactivated.
NTE          Network terminal equipment
NTE          Network terminating equipment
NTEC         Network technical equipment center
NTEC         Network terminal equipment center
NTEC         Networkbterminal equipment center
NTI          Northern telcom inc.
NTIA         National telecommunications and information agency
NTM          Nt test mode (IOM2 monitor message)
NTN          Number of tns to be assigned
NTO          Network terminal option (IBM)
NTOFN        NT off normal.
NTP          Northern telecom practice (NTI)
NTPWR        NT lost power.
NTRAP        Network trouble analysis plan
NTS          Network technical support
NTS          Network test system
NTT          No test trunk
NTTMP        Network trunk transmission measurement plan
NTWRK        Network
NU           Protection alarm-service code for LATA access
NUA          (international) network user address
NUA          Network user address
NUA          Network utilization analysis
NUC          Nailed-up connection
NUI          Network user identification
NUL          Null
NUP          National user part
NV           Protective relaying/telegraph grade-service code for LATA access
NVM          Non volatile memory (eeprom)
NW           Telegraph grade facility-75 baud-service code for LATA access
NWB          Network-busy (NTI)
NWK          Adminnetwork administration budgets system
NWM          Network management (NTI)
NWPK         Network packs
NXX          Refers to the central office designation of the telephone
NY           Telegraph grade facility- 150 baud-service code for LATA access
NYNEX        NYNEX corporation
NYNEX        New york
NYPS         National yellow pages services
NYPSA        National yellow pages services association
O            Priority.
O+I          Originating plus incoming calls to a switching module.
O-LTM        Optical line terminating multiplexer
O/S          Operating system
OA           Line equipment assignment option
OA           Out of alignment
OA&M         Operations
OA&M         Operations administration and maintance
OAM          Office data administration system
OAP          Operator services position system administrative processor
OASIS        Office automation strategy for information systems
OASIS        Overseas accounting settlement and information
OASYS        Office automation system
OATQ         OSPS ANSI TCAP query and reply
OATS         Operator assistance tracking system
OBA          Out of band announcement
OBF          Ordering and billing forum
OBH          Office busy hour
OBS          Observed data rate
OC           Office communication
OC           Operating company
OC           Operator centralization
OC&C         Other charges and credits
OCAS         OSPS customer account services
OCAS7        OSPS customer account services CCSS7/international CC validation
OCC          Other common carrier
OCC          Other common carriers
OCC          Usage occupancy
OCCH         Outgoing connections per circuit per hour
OCCS         OSPS common channel signaling
OCCS         Order control and coordination system (BTL)
OCE          Other common carrier channel equipment
OCN          Operating company number
OCOIN        OSPS coin
OCP          Optional calling plan
OCP          Origination point code (SS7)
OCPDG        Ocp data gathering
OCR          Optical character reader (auerbach computer technology report)
OCR          Optical character recognition (IBM)
OCRS         Optical character recognition system
OCS          Offical communication services
OCS          Old class of service
OCS/CTS      Official communications services installation and
OCS/CTS      Official communications services installation and maintenance cos
OCSDSELR     OCS data station equipment location report
OCSOLRM      Official communications services (OCS) on-line reference
OCTD         OSPS centralized automatic message accounting tone decoder
OCU          Office channel unit
ODA          Office data administration
ODA          Office data assembler
ODA          Office document architecture
ODAC         Operations distribution administration center
ODACCIN      OSPS directory assistance (DA) call completion and intercept
ODB          On-demand B-channel counts.
ODB          Operations divestiture board
ODCS         Official data communications service
ODD          Office dependent data
ODD          Operator distance dialing
ODDBU        Office dependent data backup
ODDD         Operator direct distance dialing
ODDS         Order data distribution system
ODIN         Online data integrity system
ODP          Office dialing plan
ODP          Organization development program
ODP          Organizational design program
ODS          Overhead data stream
ODS          Tnds on-line demand servicing
OE           Office equipment
OE           Office equipment / office equipment number
OE           Office equpiment number
OEC          Other exchange carrier
OEC          Outside plant equivalence codes
OEIC         Optoelectronic integrated circiut
OEIS         OSPS external information system
OEM          Original equipment manufacture
OEM          Original equipment manufacturer
OF           Official (telco owned)
OF           Overflow
OFA          OSPS facility administration
OFC          Office
OFF          OSPS fast features
OFF HK       Off hook
OFFN         Off-normal
OFL          Overflow(s)
OFNPS        Outstate facility network planning system
OFRD         Offered (calls [peg count])(NTI)
OFRT         Office route (NTI)
OFT          Optical fiber tube
OGO          Outgoing only trunk
OGT          Outgoing trunk
OI           Off premises intercommunication station line INTER/TRA blocal 1-2
OI           Optical interface
OIJ          Orders in jeopardy
OINTA        OSPS interflow listing services/C-ACD measures
OIRCV        OSPS interflow T&A calls received
OISNT        OSPS interflow T&A calls sent
OKMDT        Oklahoma management development training
OKP          Operational kernel process
OKRA         Operator keyed trouble report
OLCP         Optional local calling plan
OLIDB        OSPS line information data base
OLIPD        Online invoice payment data
OLRM         Online reference material
OLS          Originating line screening
OLTEP        Online test executive program
OLTS         Optical loss test set
OM           Operational measurement (NTI)
OM           Operational measurements
OM           Output mux
OMAP         Operations and maintanance application part
OMAT         Operations maintenance and administration team
OMC          Operating and maintainance center
OMD          Out messages - day
OMDB         Output message data base
OMDB         Output message database
OMISC        OSPS miscellaneous call
OML          Outgoing matching loss
OMM          Output message manual
OMNI         Online marketing networked information system
OMP          SS7 fe operation management protocol
OMPF         Operation and maintenance processor frame
ON           Off network access line INTER/TRA blocal 1-26
ON HK        On hook
ONA          Open network architecture
ONA          Open network architecture (FCC computer inquiry iii)
ONAC         Operations network administration center in K.C. (AT&T)
ONAL         Off network access line
ONALS        Off-net access lines
ONC          On line COSMOS
ONDDBOV      OSPS NCD message received indicating database overload
ONDDBUN      OSPS NCD message returned data base unable to process
ONDGMSG      OSPS NCD message received garbled
ONDIRPY      OSPS NCD message received with an inconsistent reply
ONDNBLK      OSPS NCD message returned because of network blockage
ONDNCON      OSPS NCD message returned because of network congestion
ONDNRTE      OSPS NCD message returned because of no routing data
ONDTOUT      OSPS NCD message returned because of timeout
ONDUNEQ      OSPS NCD message returned
ONDURPY      OSPS NCD message received with an unexpected reply
ONI          Operator number identification
ONP          Open network provision
ONPA         Originating numbering plan area
ONS          On line switch
ONSITE       Urban decisions system
ONTC         Office network and timing complex
ONTC         Office network and timing complex (CM2 offices only)
ONTCCOM      Office network and timing common units
OOB          Out-of-band
OOC          Originating office code
OOC          Out-of-chain
OOF          Out-of-frame
OP           Off premises extension INTER/TRA blocal 1-26
OP           Operation
OP           Outside plant
OP ALL       Option all
OPC          Originating point code
OPC          Originating point codes
OPCDB        Operations common database
OPDU         Operations protocol data unit (x.411: p3)
OPEOS        Outside plant planning
OPH          Operator handled
OPM          Outage performance monitoring
OPM          Outside plant module
OPN          Open-of-day report
OPNOXL3      OSPS position no level 3 protocol.
OPR          Operator
OPS          Off-premises station
OPS          Outside plant study system
OPSM         Outside plant subscriber module
OPT          Optional
OPU          Outside plant cable usage
OPX          Off-premises extension
OR           Originating register
OR & RG      Operating rate and route guide
ORB          Office repeater bay
ORBIT        Osp rehabilitation budget information tracker
ORC          Originating rate center
ORD          Service or work order
ORD          Work order
ORD#         Order number
ORDN         Order number.
ORDNO        Service order number
ORE          Order edit
ORE-G        Order edit global
ORI          Order input
ORIG         Allows originating
ORLF         Originating register link frame
ORLMF        Originating register line memory frame
