.NET Framework API Reference version 4.7.2
Name	Description
System.Web.Mail Namespace	The classes in this namespace have been deprecated. Use the System.Net.Mail namespace instead. The System.Web.Mail namespace contains classes that enable you to construct and send messages using the CDOSYS (Collaboration Data Objects for Windows 2000) message component. The mail message is delivered either through the SMTP mail service built into Microsoft Windows 2000 or through an arbitrary SMTP server. The classes in this namespace can be used from ASP.NET or from any managed application.
System.Web.Management Namespace	The System.Web.Management namespace contains classes and interfaces for managing and monitoring the health of Web applications.
System.Web.Mobile Namespace	The System.Web.Mobile namespace contains the core capabilities, including authentication and error handling, required for building ASP.NET mobile Web applications. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.ModelBinding Namespace	The System.Web.ModelBinding namespace provides classes that enable you to bind data objects to ASP.NET Web Forms server controls.
System.Web.Profile Namespace	The System.Web.Profile namespace contains classes that are used to work with ASP.NET user profiles in Web server applications.
System.Web.Query.Dynamic Namespace	The System.Web.Query.Dynamic namespace contains classes that are used to parse expressions from a System.Web.UI.WebControls.LinqDataSource control into a language-integrated query (LINQ).
System.Web.RegularExpressions Namespace	The System.Web.RegularExpressions namespace provides precompiled regular expressions that can be used to parse ASP.NET files. All members of the System.Web.RegularExpressions namespace are descendants of the System.Text.RegularExpressions.Regex class.
System.Web.Routing Namespace	The System.Web.Routing namespace provides classes that are used with URL routing, which enables you to use URLs that do not map to a physical file.
System.Web.Script Namespace	The System.Web.Script namespace contains classes that provide script resource information.
System.Web.Script.Serialization Namespace	The System.Web.Script.Serialization namespace contains classes that provide JavaScript Object Notation (JSON) serialization and deserialization for managed types. It also provides extensibility features to customize serialization behavior.
System.Web.Script.Services Namespace	The System.Web.Script.Services namespace provides attributes that let you customize Web service support for AJAX functionality in ASP.NET.
System.Web.Security Namespace	The System.Web.Security namespace contains classes that are used to implement ASP.NET security in Web server applications.
System.Web.Security.AntiXss Namespace	Contains methods that you can use to encode strings in order help you protect your application against cross-site scripting (XSS) attacks and LDAP injection attacks.
System.Web.Services Namespace	The System.Web.Services namespace consists of the classes that enable you to create XML Web services using ASP.NET and XML Web service clients. XML Web services are applications that provide the ability to exchange messages in a loosely coupled environment using standard protocols such as HTTP, XML, XSD, SOAP, and WSDL. XML Web services enable the building of modular applications within and across companies in heterogeneous environments making them interoperable with a broad variety of implementations, platforms and devices. The SOAP-based XML messages of these applications can have well-defined (structured and typed), or loosely defined parts (using arbitrary XML). The ability of the messages to evolve over time without breaking the protocol is fundamental to the flexibility and robustness of XML Web services as a building block for the future of the Web.
System.Web.Services.Configuration Namespace	The System.Web.Services.Configuration namespace consists of the classes that configure how XML Web services created using ASP.NET run.
System.Web.Services.Description Namespace	The System.Web.Services.Description namespace consists of the classes that enable you to publicly describe an XML Web service by using the Web Services Description Language (WSDL). Each class in this namespace corresponds to a specific element in the WSDL specification, and the class hierarchy corresponds to the XML structure of a valid WSDL document. For more information about WSDL, see the specification at the W3C Web site (http://www.w3.org/TR/wsdl/).
System.Web.Services.Discovery Namespace	The System.Web.Services.Discovery namespace consists of the classes that allows XML Web service clients to locate the available XML Web services on a Web server through a process called XML Web services Discovery.
System.Web.Services.Protocols Namespace	The System.Web.Services.Protocols namespace consists of the classes that define the protocols used to transmit data across the wire during the communication between XML Web service clients and XML Web services created using ASP.NET.
System.Web.SessionState Namespace	The System.Web.SessionState namespace supplies classes and interfaces that enable storage of data specific to a single client within a Web application on the server. The session-state data is used to give the client the appearance of a persistent connection with the application. State information can be stored within local process memory or, for Web farm configurations, it can be stored out of process using either the ASP.NET State service or a Microsoft SQL Server database.
System.Web.UI Namespace	The System.Web.UI namespace provides classes and interfaces that enable you to create ASP.NET server controls and ASP.NET Web pages for the user interface of your ASP.NET Web applications.
System.Web.UI.Adapters Namespace	The System.Web.UI.Adapters namespace contains the base classes for control adapters and page adapters. You can use these adapters to override the life-cycle states of pages and controls. This is useful if you want to modify a control's markup or behavior for new markup standards or for specific browsers.
System.Web.UI.DataVisualization.Charting Namespace	The System.Web.UI.DataVisualization.Charting namespace contains methods and properties for the Chart Web server control.
System.Web.UI.Design Namespace	The System.Web.UI.Design namespace contains classes that can be used to extend design-time support for ASP.NET Web pages and for Web server controls.
System.Web.UI.Design.Directives Namespace	The System.Web.UI.Design.Directives namespace contains classes that can be used to extend design-time support for ASP.NET Web page directives.
System.Web.UI.Design.MobileControls Namespace	The System.Web.UI.Design.MobileControls namespace contains classes that provide design-time support for the classes in the System.Web.UI.MobileControls namespace. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.Design.MobileControls.Converters Namespace	The System.Web.UI.Design.MobileControls.Converters namespace contains classes that provide design-time support for data type converters in mobile controls. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.Design.WebControls Namespace	The System.Web.UI.Design.WebControls namespace contains classes that can be used to extend design-time support for Web server controls.
System.Web.UI.Design.WebControls.WebParts Namespace	The System.Web.UI.Design.WebControls.WebParts namespace contains classes that provide design-time support for controls derived from classes in the System.Web.UI.WebControls.WebParts namespace.
System.Web.UI.HtmlControls Namespace	The System.Web.UI.HtmlControls namespace contains classes that allow you to create HTML server controls on a Web Forms page. HTML server controls run on the server and map directly to standard HTML tags supported by most browsers. This allows you to programmatically control the HTML elements on a Web Forms page.
System.Web.UI.MobileControls Namespace	The System.Web.UI.MobileControls namespace contains a set of ASP.NET server controls that can render your application for different mobile devices. The APIs in this namespace are obsolete. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.MobileControls.Adapters Namespace	The System.Web.UI.MobileControls.Adapters namespace contains classes you can use to override the life-cycle stages of a mobile control to modify its default HTML, CHTML, or WML markup or behavior for new markup standards or for specific browsers and mobile devices. The APIs in this namespace are obsolete. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.MobileControls.Adapters.XhtmlAdapters Namespace	The System.Web.UI.MobileControls.Adapters.XhtmlAdapters namespace contains classes you can use to override the life-cycle stages of a mobile control to modify its default XHTML markup or behavior for new markup standards or for specific browsers and mobile devices. For information about how to develop ASP.NET mobile applications, see the www.asp.net/mobile Web site.
System.Web.UI.WebControls Namespace	The System.Web.UI.WebControls namespace contains classes that allow you to create Web server controls on a Web page. Web server controls run on the server and include form controls such as buttons and text boxes. They also include special-purpose controls such as a calendar. Because Web server controls run on the server, you can programmatically control these elements. Although Web server controls are rendered as HTML, their object model does not necessarily reflect HTML syntax.
System.Web.UI.WebControls.Adapters Namespace	The System.Web.UI.WebControls.Adapters namespace contains classes that you can use to override the life-cycle stages of a Web control. The classes enable you to modify a control's markup or behavior for new markup standards or for specific browsers.
System.Web.UI.WebControls.Expressions Namespace	The System.Web.UI.WebControls.Expressions namespace provides classes that enable you to filter data in a Web page by using the System.Web.UI.WebControls.QueryExtender control.
System.Web.UI.WebControls.WebParts Namespace	The System.Web.UI.WebControls.WebParts namespace contains classes and interfaces known collectively as the Web Parts control set. You can use these classes to create Web pages whose appearance and behavior can be modified (personalized) by end users. Each user's personalized settings for a page are saved for future browser sessions.
System.Web.Util Namespace	The System.Web.Util namespace is a collection of classes that enable callback methods to be run under the scope of a transaction and that enable work to be posted to separate threads.
System.Web.WebSockets Namespace	The System.Web.WebSockets namespace contains classes that support adding WebSocket functionality to ASP.NET Web Forms applications.
System.Windows Namespace	Provides several important Windows Presentation Foundation (WPF) base element classes, various classes that support the WPF property system and event logic, and other types that are more broadly consumed by the WPF core and framework.
System.Windows.Annotations Namespace	Provides classes to support user-created annotations on content displayed in WPF document viewing controls.
System.Windows.Annotations.Storage Namespace	Provides types that define the storage architecture and mediums to save and retreive user-created annotations.
System.Windows.Automation Namespace	Provides support for Windows Presentation Foundation (WPF) UI Automation clients.
System.Windows.Automation.Peers Namespace	Defines the System.Windows.Automation.Peers.AutomationPeer base class and a set of types that derive from it and that correspond to Microsoft .NET Framework controls. Each System.Windows.Automation.Peers.AutomationPeer exposes the corresponding Microsoft .NET Framework control to Microsoft UI Automation.
System.Windows.Automation.Provider Namespace	Provides APIs for creating UI Automation providers.
System.Windows.Automation.Text Namespace	Contains enumerations that specify text formatting and related behavior for Windows Presentation Foundation (WPF) UI automation.
System.Windows.Baml2006 Namespace	Contains reader and writer classes that can consume XAML in BAML form.
System.Windows.Controls Namespace	Provides classes to create elements, known as controls, that enable a user to interact with an application. The control classes are at the core of the user's experience with any application because they allow a user to view, select, or enter data or other information.
System.Windows.Controls.Primitives Namespace	Contains base classes and controls that are intended to be used as part of other more complex controls.
System.Windows.Controls.Ribbon Namespace	Contains types that are used to create a user interface by using the Microsoft Ribbon for WPF.
System.Windows.Controls.Ribbon.Primitives Namespace	Contains types that are used as layout containers in a Microsoft Ribbon for WPF control.
System.Windows.Converters Namespace	Provides classes to support type conversion during serialization in Windows Presentation Foundation (WPF).
System.Windows.Data Namespace	Contains classes used for binding properties to data sources, data source provider classes, and data-specific implementations of collections and views.
System.Windows.Diagnostics Namespace	Provides support for Windows Presentation Foundation (WPF) XAML tooling.
System.Windows.Documents Namespace	Contains types that support System.Windows.Documents.FixedDocument, System.Windows.Documents.FlowDocument, and XML Paper Specification (XPS) document creation.
System.Windows.Documents.DocumentStructures Namespace	Provides classes to describe the structure of an System.Windows.Xps.Packaging.XpsDocument in terms of sections, paragraphs, figures, bulleted or numbered lists, and tables.
System.Windows.Documents.Serialization Namespace	Provides types that support the creation and use of run-time accessible plug-in serializers that read and write documents in different data formats.
System.Windows.Forms Namespace	The System.Windows.Forms namespace contains classes for creating Windows-based applications that take full advantage of the rich user interface features available in the Microsoft Windows operating system.
System.Windows.Forms.ComponentModel.Com2Interop Namespace	The System.Windows.Forms.ComponentModel.Com2Interop namespace contains helper classes that Visual Studio uses to display property pages while in design mode.
System.Windows.Forms.DataVisualization.Charting Namespace	The System.Windows.Forms.DataVisualization.Charting namespace contains methods and properties for the Chart Windows forms control.
System.Windows.Forms.Design Namespace	The System.Windows.Forms.Design namespace contains classes that support design-time configuration and behavior for Windows Forms components. These classes consist of designer classes that provide support for Windows Forms components, a set of design-time services; UITypeEditor classes for configuring certain types of properties, and classes for importing ActiveX controls.
System.Windows.Forms.Design.Behavior Namespace	The System.Windows.Forms.Design.Behavior namespace contains classes for creating custom user interface behavior for components at design time.
System.Windows.Forms.Integration Namespace	Contains classes that support interoperation of Windows Forms and WPF controls.
System.Windows.Forms.Layout Namespace	The System.Windows.Forms.Layout namespace contains classes for implementing layout behaviors in your form or control.
System.Windows.Forms.PropertyGridInternal Namespace	The PropertyGridInternal namespace provides internal support for the PropertyGrid control. The classes in this namespace support the .NET Framework infrastructure and are not intended to be used directly from your code.
System.Windows.Forms.VisualStyles Namespace	The System.Windows.Forms.VisualStyles namespace contains classes for rendering controls and other Windows user interface (UI) elements with visual styles in operating systems that support them.
System.Windows.Ink Namespace	Provides classes to interact with and manipulate ink on the Windows Presentation Foundation (WPF) platform.
System.Windows.Input Namespace	Provides types to support the Windows Presentation Foundation (WPF) input system. This includes device abstraction classes for mouse, keyboard, and stylus devices, a common input manager class, support for commanding and custom commands, and various utility classes.
System.Windows.Input.Manipulations Namespace	Provides functionality for monitoring and responding to a collection of manipulators as a single composite, enabling an application to track the changes to the composite instead of the individual components.
System.Windows.Input.StylusPlugIns Namespace	Provides classes that support manipulating data from a tablet pen on the Windows Presentation Foundation (WPF) platform. These classes offerlow-level control over System.Windows.Input.Stylus input and the creation of digital ink System.Windows.Ink.Stroke objects. The System.Windows.Input.StylusPlugIns.StylusPlugIn class provides a mechanism for you to implement custom behavior and apply that behavior to the stream of data coming from the stylus device for the optimal performance.
System.Windows.Input.StylusWisp Namespace	Provides classes that support manipulating data from a WISP tablet device pen on the Windows Presentation Foundation (WPF) platform.
System.Windows.Interop Namespace	Provides supporting types for interoperation between Windows Presentation Foundation (WPF) and other technologies such as Win32 APIs and provides base classes for other specific interoperation scenarios involving WPF.
System.Windows.Markup Namespace	Provides types to support XAML. Some of these types are located in WPF assemblies and are specific to WPF scenarios that involve XAML. Other types in this namespace provide support for .NET Framework XAML Services in general, and do not require referencing WPF assemblies.
System.Windows.Markup.Localizer Namespace	Provides types that assist in the localization of binary XAML (BAML) sources.
System.Windows.Markup.Primitives Namespace	Contains classes that support Extensible Application Markup Language (XAML) in Windows Presentation Foundation (WPF).
System.Windows.Media Namespace	Provides types that enable integration of rich media, including drawings, text, and audio/video content in Windows Presentation Foundation (WPF) applications.
System.Windows.Media.Animation Namespace	Provides types that support property animation functionality, including timelines, storyboards, and key frames.
System.Windows.Media.Converters Namespace	Contains classes that are used by the System.Windows.Markup.Primitives.MarkupWriter for serialization of Extensible Application Markup Language (XAML).
System.Windows.Media.Effects Namespace	Provides types that can be used to apply visual effects to bitmap images.
System.Windows.Media.Imaging Namespace	Provides types that are used to encode and decode bitmap images.
System.Windows.Media.Media3D Namespace	Contains types that support 3-D presentation in Windows Presentation Foundation (WPF) applications.
System.Windows.Media.Media3D.Converters Namespace	Contains classes that are used by the System.Windows.Markup.Primitives.MarkupWriter for serialization of Extensible Application Markup Language (XAML).
System.Windows.Media.TextFormatting Namespace	Provides types that control formatting of text, typically at a lower level than control-based text presentation or the text object model.
System.Windows.Navigation Namespace	Provides types that support navigation, including navigating between windows and navigation journaling.
System.Windows.Resources Namespace	Provides low-level classes that support the Windows Presentation Foundation (WPF) resource model and the Resources build action.
System.Windows.Shapes Namespace	Provides access to a library of shapes that can be used in Extensible Application Markup Language (XAML) or code.
System.Windows.Shell Namespace	Contains types that provide managed code access to the enhanced functionality of the Windows 7 taskbar.
System.Windows.Threading Namespace	Contains types to support the Windows Presentation Foundation (WPF) threading system.
System.Windows.Xps Namespace	Provides classes that write XPS documents to a data store or print queue.
System.Windows.Xps.Packaging Namespace	Provides types that allow applications to read and write the components of an XPS document.
System.Windows.Xps.Serialization Namespace	Provides types that support serialization of XPS documents.
System.Workflow.Activities Namespace	Provides classes related to Windows Workflow Foundation activities.
System.Workflow.Activities.Configuration Namespace	Provides classes that represent sections of the configuration file.
System.Workflow.Activities.Rules Namespace	Contains a set of classes that define the conditions and actions that form a rule.
System.Workflow.Activities.Rules.Design Namespace	Contains a set of classes that manage the Rule Set Editor and the Rule Condition Editor dialog boxes.
System.Workflow.ComponentModel Namespace	Provides classes related to the Windows Workflow Foundation component model.
System.Workflow.ComponentModel.Compiler Namespace	Provides classes related to the Windows Workflow Foundation component model compiler.
System.Workflow.ComponentModel.Design Namespace	Provides classes related to the Windows Workflow Foundation component model designers.
System.Workflow.ComponentModel.Serialization Namespace	Provides the infrastructure for managing the serialization of activities and workflows to and from extensible Application Markup Language (XAML) and CodeDOM.
System.Workflow.Runtime Namespace	Provides classes related to workflow runtime.
System.Workflow.Runtime.Configuration Namespace	Contains classes that are used to configure the workflow runtime engine.
System.Workflow.Runtime.DebugEngine Namespace	Contains classes and interfaces for use in debugging workflow instances.
System.Workflow.Runtime.Hosting Namespace	Provides classes related to Windows Workflow Foundation runtime hosting.
System.Workflow.Runtime.Tracking Namespace	Contains classes and an interface related to tracking services.
System.Xaml Namespace	Provides types that relate to XAML readers and XAML writers. This includes the default implementations of .NET Framework XAML Services and its XAML readers and XAML writers. Also contains types relevant to the XAML type system and other support types related to XAML and .NET Framework XAML Services concepts.
System.Xaml.Permissions Namespace	Contains types that specify permissions for certain XAML loading scenarios, such as loading under partial trust or loading internal types.
System.Xaml.Schema Namespace	Contains types that support extensibility of the XAML type system.
System.Xml Namespace	The System.Xml namespace provides standards-based support for processing XML.
System.Xml.Linq Namespace	Contains the classes for LINQ to XML. LINQ to XML is an in-memory XML programming interface that enables you to modify XML documents efficiently and easily.
System.Xml.Resolvers Namespace	The System.Xml.Resolvers namespace provides support for prepopulating the cache with DTDs or XML streams.
System.Xml.Schema Namespace	The System.Xml.Schema namespace contains the XML classes that provide standards-based support for XML schema definition language (XSD) schemas.
System.Xml.Serialization Namespace	The System.Xml.Serialization namespace contains classes that are used to serialize objects into XML format documents or streams.
System.Xml.Serialization.Advanced Namespace	The System.Xml.Serialization.Advanced namespace contains classes that allow you to customize the code generated from a Web Services Description Language (WSDL) document.
System.Xml.Serialization.Configuration Namespace	The System.Xml.Serialization.Configuration namespace contains classes used to read the values found in application configuration files under the [<system.xml.serialization> Element](~/docs/standard/serialization/system-xml-serialization-element.md) section.
System.Xml.XPath Namespace	The System.Xml.XPath namespace contains the classes that define a cursor model for navigating and editing XML information items as instances of the XQuery 1.0 and XPath 2.0 Data Model.
System.Xml.XmlConfiguration Namespace	The System.Xml.XmlConfiguration namespace that contains sections of XML configuration.
System.Xml.Xsl Namespace	The System.Xml.Xsl namespace provides support for Extensible Stylesheet Transformation (XSLT) transforms. It supports the W3C XSL Transformations (XSLT) Version 1.0 Recommendation (www.w3.org/TR/xslt).
System.Xml.Xsl.Runtime Namespace	Contains types that are used by the XSL transformation engine.
UIAutomationClientsideProviders Namespace	Contains a single type that maps client automation providers.
